Place,WeightClassKg,Division,Sex,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,Event,Equipment
8,100,Master 2,M,Rod Fielding,1944,GBR,97.2,205,215,222.5,222.5,120,127.5,132.5,132.5,250,265,272.5,272.5,627.5,SBD,Single-ply
9,100,Master 2,M,Vyacheslav Tsygankov,1938,UKR,95.3,210,220,230,230,130,140,140,140,210,225,232.5,232.5,575,SBD,Single-ply
10,100,Master 2,M,Josef Cisak,1945,POL,92.6,205,215,220,220,125,130,130,130,205,205,,205,545,SBD,Single-ply
11,100,Master 2,M,Julius Madsen,1937,DEN,97.2,130,140,147.5,147.5,140,150,157.5,157.5,160,170,180,180,477.5,SBD,Single-ply
1,110,Master 2,M,Manfred Grossmann,1942,GER,103.1,275,285,295,295,182.5,182.5,190,190,270,282.5,290,290,775,SBD,Single-ply
2,110,Master 2,M,Antero Rinne,1945,FIN,108.7,262.5,280,280,280,167.5,180,190,190,260,275,280,280,722.5,SBD,Single-ply
3,110,Master 2,M,Dan Lindstöm,1941,SWE,107.1,235,235,250,250,162.5,170,172.5,172.5,225,237.5,245,245,660,SBD,Single-ply
4,110,Master 2,M,Truls Kristensen,1940,NOR,102.1,230,245,252.5,252.5,140,150,157.5,157.5,230,245,245,245,655,SBD,Single-ply
5,110,Master 2,M,Yuri Lobachev,1938,RUS,102.6,220,230,240,240,140,150,150,150,250,260,277.5,277.5,640,SBD,Single-ply
6,110,Master 2,M,Miller Edwards,1943,USA,108.2,220,220,220,220,167.5,177.5,177.5,177.5,250,280,280,280,637.5,SBD,Single-ply
7,110,Master 2,M,George Moran,1941,GBR,107.4,200,220,232.5,232.5,120,127.5,130,130,210,225,232.5,232.5,587.5,SBD,Single-ply
8,110,Master 2,M,Ernst Christensen,1930,DEN,105.7,200,220,230,230,120,125,125,125,220,240,,240,580,SBD,Single-ply
9,110,Master 2,M,Jan Monstad,1933,NOR,101.9,180,190,190,190,80,85,85,85,220,230,230,230,490,SBD,Single-ply
1,125,Master 2,M,Yuri Kalashnik,1940,UKR,122.6,280,290,300,300,170,180,190,190,270,285,292.5,292.5,772.5,SBD,Single-ply
2,125,Master 2,M,Hans Ring,1945,SWE,114,250,260,260,260,160,167.5,172.5,172.5,250,260,275,275,677.5,SBD,Single-ply
3,125,Master 2,M,Hans Frece,1940,GER,111.9,240,250,250,250,147.5,155,157.5,157.5,235,242.5,242.5,242.5,640,SBD,Single-ply
4,125,Master 2,M,Olavi Erola,1936,FIN,116.4,230,240,245,245,140,147.5,150,150,230,240,,240,630,SBD,Single-ply
5,125,Master 2,M,Nikolai Shuliatyev,1940,RUS,113.6,220,235,235,235,140,150,152.5,152.5,220,230,235,235,595,SBD,Single-ply
6,125,Master 2,M,Roberts Beitans,1939,LAT,121.9,150,160,160,160,120,125,130,130,200,,,200,485,SBD,Single-ply
DD,125,Master 2,M,C.J. Batten,1943,USA,124.1,,,,,,,,,,,,,,SBD,Single-ply
1,125+,Master 2,M,Knut Asvang,1944,NOR,134.8,270,290,300,300,190,205,210,210,270,280,280,280,770,SBD,Single-ply
2,125+,Master 2,M,Robert Smith,1942,USA,125.7,210,210,230,230,165,170,175,175,215,230,240,240,630,SBD,Single-ply
3,125+,Master 2,M,Vladimir Maramzin,1941,RUS,130.6,210,210,225,225,145,155,160,160,220,230,252.5,252.5,610,SBD,Single-ply
4,125+,Master 2,M,Eduard Dobroy,1941,EST,132.3,225,235,235,235,160,165,170,170,190,210,220,220,600,SBD,Single-ply
5,125+,Master 2,M,Don Martin ,1941,USA,135.7,182.5,227.5,227.5,227.5,102.5,115,130,130,230,250,250,250,527.5,SBD,Single-ply
