Place,WeightClassKg,Division,Sex,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,Event,Equipment
2,67.5,Master 1,M,Jakob Hansen,1949,DEN,67.4,220,230,237.5,237.5,145,152.5,155,155,220,220,225,225,610,SBD,Single-ply
3,67.5,Master 1,M,Haruo Taira,1954,JPN,66.9,220,227.5,230,230,160,165,170,170,215,225,225,225,607.5,SBD,Single-ply
4,67.5,Master 1,M,Ken Lam,1949,CAN,67.4,210,220,220,220,132.5,137.5,142.5,142.5,235,242.5,252.5,252.5,590,SBD,Single-ply
5,67.5,Master 1,M,Ron Kerr,1955,GBR,67,205,217.5,222.5,222.5,110,117.5,122.5,122.5,210,225,230,230,570,SBD,Single-ply
6,67.5,Master 1,M,Keijo Kuisma,1952,FIN,67,185,195,195,195,120,125,127.5,127.5,225,235,245,245,557.5,SBD,Single-ply
7,67.5,Master 1,M,Petr Hruby,1954,CZE,67.1,160,160,172.5,172.5,115,125,130,130,180,190,200,200,475,SBD,Single-ply
8,67.5,Master 1,M,Malcolm Scott,1952,USA,66.2,125,140,150,150,75,90,90,90,140,150,155,155,370,SBD,Single-ply
DD,,Master 1,M,Achille Caredda,1953,ITA,66.7,210,,,210,,,,0,,,,0,,SBD,Single-ply
1,75,Master 1,M,Jan Wilczynski,1955,POL,74.4,260,270,275.5,275.5,147.5,155,160,160,270,275,280,280,710,SBD,Single-ply
2,75,Master 1,M,Leonid Lokhov,1948,RUS,74.5,240,250,262.5,262.5,145,152.5,157.5,157.5,260,275,,275,690,SBD,Single-ply
3,75,Master 1,M,Ricardo Gengotti,1952,ITA,74.8,220,230,230,230,130,137.5,142.5,142.5,250,272.5,,272.5,635,SBD,Single-ply
4,75,Master 1,M,Richard Cirigliano,1955,USA,74.9,205,220,220,220,130,137.5,142.5,142.5,250,272.5,277.5,277.5,635,SBD,Single-ply
5,75,Master 1,M,Ulric Gill,1949,USA,74.4,220,237.5,245,245,125,132.5,132.5,132.5,222.5,235,240,240,617.5,SBD,Single-ply
6,75,Master 1,M,Noriano Coppari,1952,ITA,74.6,205,215,220,220,120,130,135,135,235,245,,245,590,SBD,Single-ply
7,75,Master 1,M,Wilbur Harding,1947,CAN,74.7,195,205,210,210,135,142.5,145,145,220,227.5,235,235,582.5,SBD,Single-ply
8,75,Master 1,M,John Russel,1946,GBR,73.5,215,225,225,225,120,120,130,130,220,235,,235,580,SBD,Single-ply
9,75,Master 1,M,Janis Pauluks,1946,LAT,72.3,205,215,215,215,115,120,122.5,122.5,230,240,247.5,247.5,567.5,SBD,Single-ply
10,75,Master 1,M,Sjinji Kawai,1954,JPN,73.2,195,210,220,220,135,142.5,145,145,200,210,220,220,565,SBD,Single-ply
11,75,Master 1,M,Carl-Johan Perlström,1951,SWE,74.4,200,215,225,225,105,110,110,110,220,235,250,250,560,SBD,Single-ply
12,75,Master 1,M,Lawrence Arendse,1954,RSA,73,180,190,200,200,120,130,142.5,142.5,200,220,240,240,550,SBD,Single-ply
13,75,Master 1,M,Jagdish Rangrej,1954,IND,74.8,180,195,200,200,130,135,140,140,200,210,,210,530,SBD,Single-ply
14,75,Master 1,M,Wolfgang Höckendorf,1946,GER,73.9,150,160,160,160,115,120,120,120,150,165,175,175,445,SBD,Single-ply
15,75,Master 1,M,Iwarlal Vyas,1946,IND,73.7,120,130,140,140,80,90,95,95,150,160,167.5,167.5,397.5,SBD,Single-ply
1,82.5,Master 1,M,Valery Glazunov,1948,RUS,80.4,270,280,285,285,175,185,187.5,187.5,245,255,260,260,727.5,SBD,Single-ply
