Place,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
DQ,Ielizaveta Ivanova,1988,UKR,70.44,220,230,-235,230.0,130,140,-142.5,140.0,-205,-205,-205,,,75,Open,SBD,F,Single-ply
DQ,Yosleinys Fernandez,1984,VEN,73.88,-220,-220,-220,,-105,110,115,115.0,210,-220,220,220.0,,75,Open,SBD,F,Single-ply
1,Iryna Karpova-Yavorska,1981,UKR,81.66,210,220,230,230.0,150,160,165,165.0,210,220,225,225.0,620,82.5,Open,SBD,F,Single-ply
2,Liane Blyn,1972,USA,76.8,210,222.5,230,230.0,132.5,142.5,147.5,147.5,207.5,217.5,222.5,222.5,600,82.5,Open,SBD,F,Single-ply
3,Heidi Hille Arnesen,1970,NOR,76.38,195,205,210,210.0,117.5,122.5,-127.5,122.5,192.5,200,-205,200.0,532.5,82.5,Open,SBD,F,Single-ply
4,Ting Wang Shih,1990,TPE,80.02,180,195,200,200.0,-95,95,100,100.0,207.5,212.5,-222.5,212.5,512.5,82.5,Open,SBD,F,Single-ply
5,Heidi Fowler,1980,CAN,81.14,140,150,157.5,157.5,92.5,97.5,102.5,102.5,130,140,145,145.0,405,82.5,Open,SBD,F,Single-ply
DD,Ranu Mohanty,1982,IND,75.88,180,-190,197.5,197.5,-80,90,95,95.0,180,-190,,180.0,,82.5,Open,SBD,F,Single-ply
1,Ielja Strik,1973,NED,88.32,240,252.5,260,260.0,165,-172.5,-172.5,165.0,220,230,-240,230.0,655,90,Open,SBD,F,Single-ply
2,Wen Chang Ya,1984,TPE,85.84,250,260,-272,260.0,130,-140,-140,130.0,-215,215,225,225.0,615,90,Open,SBD,F,Single-ply
3,Jackie Buckley-Gray,1967,NZL,89.74,190,-205,205,205.0,137.5,-140,-140,137.5,210,220,-227.5,220.0,562.5,90,Open,SBD,F,Single-ply
4,Erlina Pecante,1964,PHI,84.28,210,215.0,217.5,217.5,120,-125,-125,120.0,175,-195,195,195.0,532.5,90,Open,SBD,F,Single-ply
5,Raelene Marion,1986,CAN,89.48,195,207.5,215,215.0,132.5,-140,-142.5,132.5,160,172.5,177.5,177.5,525,90,Open,SBD,F,Single-ply
6,Jill Arnow,1959,USA,89.2,177.5,182.5,187.5,187.5,-122.5,122.5,130,130.0,177.5,-185,-185,177.5,495,90,Open,SBD,F,Single-ply
7,Chu Hung Min,1983,TPE,82.8,155,165,167.5,167.5,150,-160,165,165.0,125,160,-170,160.0,492.5,90,Open,SBD,F,Single-ply
8,Tulua Sekone-Fraser,1990,NZL,89.54,165,175,185,185.0,100,107.5,-112.5,107.5,180,190,200,200.0,492.5,90,Open,SBD,F,Single-ply
9,Midori Kato,1971,JPN,84.66,160,-172.5,-182.5,160.0,85,95,-100,95.0,165,175,-180,175.0,430,90,Open,SBD,F,Single-ply
10,Manjeet Kaur,1988,IND,87.84,-160,160,170,170.0,80,85,-90,85.0,130,140,-150,140.0,395,90,Open,SBD,F,Single-ply
1,Jessica O'Donnell,1980,USA,97.68,250,262.5,267.5,267.5,162.5,172.5,177.5,177.5,222.5,232.5,240,240.0,685,90+,Open,SBD,F,Single-ply
2,Inna Orobets,1971,UKR,101.12,245,255,265,265.0,175,187.5,-195,187.5,207.5,217.5,-225,217.5,670,90+,Open,SBD,F,Single-ply
3,Joanne Schaefer-Williams,1967,NED,107.74,210,230,240,240.0,170,177.5,182.5,182.5,205,217.5,-222.5,217.5,640,90+,Open,SBD,F,Single-ply
4,Sonia Manaena,1961,NZL,120.24,222.5,-232.5,-235,222.5,132.5,-140,140,140.0,222.5,227.5,-240,227.5,590,90+,Open,SBD,F,Single-ply
5,Brenda V.D.Meulen,1978,NED,107.66,215,227.5,-235,227.5,150,157.5,162.5,162.5,180,-192.5,192.5,192.5,582.5,90+,Open,SBD,F,Single-ply
6,Yeh Chao Chen,1971,TPE,126.88,210,232.5,242.5,242.5,140,-165,175,175.0,125,-190,-190,125.0,542.5,90+,Open,SBD,F,Single-ply
7,Elisangela Romao,1984,BRA,117.48,150,160,165,165.0,95,-105,-105,95.0,145,-160,-160,145.0,405,90+,Open,SBD,F,Single-ply
DQ,Sharadha Gottimukkula,1984,IND,90.66,-160,-160,-160,,40,-50,50,50.0,130,-140,,130.0,,90+,Open,SBD,F,Single-ply
