Place,WeightClassKg,Sex,Division,Name,BirthYear,Country,BodyweightKg,,,,,Event,Equipment
3,100,M,Junior,Olaf Nimmerfroh,1971,GER,96.00,300,182.5,262.5,745,SBD,Single-ply
4,100,M,Junior,Hitoshi Nakamura,1968,JPN,98.80,265,170,225,660,SBD,Single-ply
5,100,M,Junior,Franz Leberwurst,1969,AUT,90.50,250,140,260,650,SBD,Single-ply
6,100,M,Junior,Daniel Quansah,1969,IVC,94.40,215,120,250,585,SBD,Single-ply
1,110,M,Junior,Mike Siegler,1968,USA,107.70,307.5,210,282.5,800,SBD,Single-ply
2,110,M,Junior,Joe Raynor,1969,USA,108.60,287.5,195,292.5,775,SBD,Single-ply
3,110,M,Junior,Jukka Lahikainen,1968,FIN,100.50,270,190,267.5,727.5,SBD,Single-ply
4,110,M,Junior,Helmut Aschenbrenner,1968,GER,108.00,280,175,260,715,SBD,Single-ply
5,110,M,Junior,Luke Hatzipetrov,1968,AUS,108.70,290,150,275,715,SBD,Single-ply
6,110,M,Junior,Alister Ouattara,1969,IVC,101.00,260,115,265,640,SBD,Single-ply
1,125,M,Junior,Karl Saliger,1969,AUT,123.90,345,225,322.5,892.5,SBD,Single-ply
2,125,M,Junior,Chao-Chieh Hsiung,1969,TPE,122.60,280,187.5,292.5,760,SBD,Single-ply
3,125,M,Junior,Chin-Wen Chuang,1973,TPE,124.30,260,135,200,595,SBD,Single-ply
1,125+,M,Junior,Jukka Parkkonen,1968,FIN,125.60,330,215,300,845,SBD,Single-ply
2,125+,M,Junior,Bob Bierschbach,1968,USA,140.00,312.5,157.5,300,770,SBD,Single-ply
3,125+,M,Junior,Chen-Tsung Wu,1972,TPE,135.20,317.5,155,270,742.5,SBD,Single-ply
4,125+,M,Junior,Chuang-En Lin,1969,TPE,132.20,270,167.5,257.5,695,SBD,Single-ply
DQ,125+,M,Junior,A. M. Mohamed,1968,LBA,142.50,,,,,SBD,Single-ply
