
25th WORLD MASTERS POVERLIFTING CHAMPIONSHIPS.  CZE. OSTRAVA. 02-06.10.2007
DETAILED SCORESHEET
PL. ,   Lifters ,BY ,Nation ,Weight ,WF ,Lot ,All Squat ,All Bench press ,All Dead lift ,TOTAL ,W.pts. ,Pts.
Masters 1 ,  ,  ,  ,  ,  , 
 - 56 kg
7. ,Seth Frank ,1967 ,GER ,74.50 ,0.7159 ,138 ,215.0 ,225.0 ,232.5 ,7 ,140.0 ,147.5 ,152.5 ,7 ,215.0 ,222.5 ,230.0 ,8 ,602.5 ,431.32 ,4
8. ,Ottolangui Allen ,1960 ,GBR ,74.00 ,0.7193 ,182 ,210.0 ,225.0 ,232.5 ,6 ,135.0 ,135.0 ,140.0 ,9 ,215.0 ,230.0 ,240.0 ,6 ,597.5 ,429.78 ,3
9. ,Maixner Pavel ,1962 ,CZE ,73.80 ,0.7207 ,19 ,200.0 ,210.0 ,220.0 ,8 ,130.0 ,135.0 ,140.0 ,8 ,210.0 ,220.0 ,230.0 ,9 ,575.0 ,414.40 ,2
10. ,Kawabe Ichiro ,1961 ,JPN ,73.50 ,0.7228 ,31 ,200.0 ,210.0 ,215.0 ,9 ,165.0 ,172.5 ,180.0 ,4 ,160.0 ,175.0 ,175.0 ,11 ,547.5 ,395.73 ,1
11. ,Walz Gerhard ,1959 ,GER ,73.80 ,0.7207 ,184 ,190.0 ,202.5 ,207.5 ,11 ,110.0 ,115.0 ,122.5 ,11 ,210.0 ,220.0 ,225.0 ,9 ,542.5 ,390.97 ,1
 - 82.5 kg
1. ,Gibson Laddie ,1965 ,USA ,81.40 ,0.6754 ,199 ,245.0 ,265.0 ,272.5 ,2 ,190.0 ,200.0 ,200.0 ,1 ,260.0 ,280.0 ,292.5 ,1 ,765.0 ,516.68 ,12
2. ,Rasmussen Erik ,1962 ,DEN ,81.30 ,0.6759 ,39 ,260.0 ,275.0 ,275.0 ,1 ,165.0 ,172.5 ,177.5 ,3 ,225.0 ,235.0 ,245.0 ,9 ,692.5 ,468.06 ,9
3. ,Adewale T.S. ,1965 ,GBR ,81.60 ,0.6744 ,104 ,255.0 ,255.0 ,270.0 ,4 ,147.5 ,147.5 ,147.5 ,11 ,280.0 ,290.0 ,292.5 ,3 ,692.5 ,467.02 ,8
4. ,Oksanen Ari ,1964 ,FIN ,79.10 ,0.6876 ,50 ,225.0 ,232.5 ,237.5 ,8 ,170.0 ,175.0 ,180.0 ,2 ,237.5 ,245.0 ,250.0 ,6 ,667.5 ,458.97 ,7
5. ,Agostinoni Giorgio ,1958 ,ITA ,81.30 ,0.6759 ,66 ,245.0 ,260.0 ,262.5 ,3 ,137.5 ,145.0 ,147.5 ,10 ,245.0 ,255.0 ,260.0 ,5 ,665.0 ,449.47 ,6
6. ,Criscione Pieriorgio ,1961 ,ITA ,82.30 ,0.6709 ,47 ,232.5 ,240.0 ,240.0 ,7 ,132.5 ,137.5 ,142.5 ,13 ,252.5 ,265.0 ,270.0 ,4 ,642.5 ,431.05 ,5
7. ,Yamaguchi Makoto ,1963 ,JPN ,79.90 ,0.6832 ,203 ,240.0 ,250.0 ,250.0 ,6 ,145.0 ,150.0 ,150.0 ,12 ,230.0 ,250.0 ,252.5 ,7 ,635.0 ,433.83 ,4
8. ,Harada Seiji ,1961 ,JPN ,81.00 ,0.6774 ,45 ,205.0 ,210.0 ,215.0 ,10 ,160.0 ,165.0 ,172.5 ,4 ,240.0 ,250.0 ,262.5 ,8 ,625.0 ,423.37 ,3
9. ,King Stephen ,1962 ,NZL ,81.60 ,0.6744 ,62 ,225.0 ,242.5 ,252.5 ,5 ,115.0 ,125.0 ,130.0 ,14 ,210.0 ,230.0 ,235.0 ,11 ,617.5 ,416.44 ,2
10. ,Bryant Andrew ,1966 ,CAN ,80.00 ,0.6827 ,191 ,210.0 ,220.0 ,230.0 ,9 ,150.0 ,152.5 ,157.5 ,6 ,195.0 ,210.0 ,220.0 ,13 ,597.5 ,407.91 ,1
11. ,Hakkarainen Petteri ,1967 ,FIN ,82.00 ,0.6724 ,132 ,200.0 ,212.5 ,212.5 ,12 ,145.0 ,152.5 ,157.5 ,9 ,220.0 ,230.0 ,237.5 ,10 ,590.0 ,396.71 ,1
12. ,Novak Libor ,1966 ,CZE ,81.20 ,0.6764 ,23 ,200.0 ,210.0 ,215.0 ,11 ,145.0 ,150.0 ,155.0 ,8 ,215.0 ,222.5 ,227.5 ,12 ,587.5 ,397.38 ,1
13. ,Fox Steve ,1961 ,AUS ,81.90 ,0.6729 ,208 ,155.0 ,167.5 ,175.0 ,13 ,105.0 ,110.0 ,110.0 ,15 ,170.0 ,180.0 ,185.0 ,14 ,457.5 ,307.85 ,1
— ,Hampel Rolf ,1961 ,GER ,81.20 ,0.6764 ,152 ,280.0 ,280.0 ,290.0 ,Disq. ,145.0 ,152.5 ,157.5 ,7 ,280.0 ,290.0 ,290.0 ,2 ,Out ,— ,—
— ,Carlot Dominique ,1960 ,FRA ,81.80 ,0.6734 ,211 ,242.5 ,242.5 ,242.5 ,Disq. ,160.0 ,167.5 ,   # ,5 ,265.0 ,265.0 ,282.5 ,Disq. ,Out ,— ,—
 - 90 kg
1. ,Becker Jeff ,1963 ,CAN ,88.90 ,0.6424 ,150 ,297.5 ,307.5 ,312.5 ,1 ,200.0 ,205.0 ,210.0 ,4 ,290.0 ,300.0 ,305.0 ,2 ,822.5 ,528.37 ,12
2. ,Terry Craig ,1964 ,USA ,89.70 ,0.6395 ,219 ,282.5 ,300.0 ,305.0 ,2 ,155.0 ,165.0 ,167.5 ,10 ,315.0 ,342.0 ,342.0 w1 ,1 /w1 ,814.5 ,520.87 ,9
3. ,Jones Gregory ,1961 ,USA ,89.80 ,0.6391 ,171 ,297.5 ,297.5 ,305.0 ,3 ,212.5 ,220.0 ,220.0 ,1 ,290.0 ,290.0 ,290.0 ,3 ,807.5 ,516.07 ,8
4. ,Schnurr Mario ,1960 ,GER ,88.70 ,0.6432 ,76 ,272.5 ,290.0 ,300.0 ,4 ,172.5 ,180.0 ,185.0 ,8 ,250.0 ,270.0 ,280.0 ,4 ,742.5 ,477.57 ,7
