Place,WeightClassKg,Sex,Division,Name,BirthYear,Country,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Event,Equipment
DQ,67.5,M,Junior,Jason Duclos,,CAN,130.0,95.0,,,SBD,Single-ply
DQ,67.5,M,Junior,Chang-Hung Chou,,TPE,210.0,117.5,,,SBD,Single-ply
1,75,M,Junior,Øyvind Bjørnsen,1970,NOR,245.0,170.0,250.0,665.0,SBD,Single-ply
2,75,M,Junior,Ferdinand Pesendörfer,1967,AUT,260.0,150.0,247.5,657.5,SBD,Single-ply
3,75,M,Junior,Jeff Shockley,1967,USA,227.5,147.5,245.0,620.0,SBD,Single-ply
4,75,M,Junior,Timo Litt,1966,GBR,250.0,130.0,230.0,610.0,SBD,Single-ply
5,75,M,Junior,Juha Tuononen,1972,FIN,217.5,155.0,230.0,602.5,SBD,Single-ply
6,75,M,Junior,Mattias Tysk,1967,SWE,220.0,137.5,240.0,597.5,SBD,Single-ply
7,75,M,Junior,Lawrence Mentesh,1967,GBR,215.0,132.5,250.0,597.5,SBD,Single-ply
8,75,M,Junior,David Cretzan,1967,IRL,212.5,135.0,242.5,590.0,SBD,Single-ply
DQ,75,M,Junior,Pisdni Sabino,,ITA,250.0,,,,SBD,Single-ply
DQ,75,M,Junior,Yoshiaki Aragami,,JPN,,,,,SBD,Single-ply
DQ,75,M,Junior,Mikael Strömblad,,SWE,,,,,SBD,Single-ply
DQ,75,M,Junior,Eril Miwohouko,1968,IVC,,,,,SBD,Single-ply
1,82.5,M,Junior,Lou Capozzi,1967,USA,280.0,177.5,282.5,740.0,SBD,Single-ply
2,82.5,M,Junior,Kjell Kaspersen,1968,NOR,300.0,150.0,270.0,720.0,SBD,Single-ply
3,82.5,M,Junior,Brian Skibyak,1967,USA,252.5,175.0,282.5,710.0,SBD,Single-ply
4,82.5,M,Junior,Jörgen Ljungberg,1967,SWE,252.5,175.0,282.5,710.0,SBD,Single-ply
5,82.5,M,Junior,Fröde Gundersen,1967,NOR,260.0,150.0,280.0,690.0,SBD,Single-ply
6,82.5,M,Junior,Dirk Surma,1966,FRG,275.0,175.0,237.5,687.5,SBD,Single-ply
7,82.5,M,Junior,Laurent Dewas,1969,FRA,270.0,140.0,272.5,682.5,SBD,Single-ply
8,82.5,M,Junior,Juho Tervonen,,FIN,250.0,157.5,245.0,652.5,SBD,Single-ply
9,82.5,M,Junior,Vesgen Edwards,,GBR,235.0,155.0,257.5,647.5,SBD,Single-ply
10,82.5,M,Junior,Mohammed Amer,,IVC,240.0,147.5,245.0,632.5,SBD,Single-ply
11,82.5,M,Junior,Jonas Åslund,1970,SWE,230.0,142.5,255.0,627.5,SBD,Single-ply
12,82.5,M,Junior,Kohki Nitani,,JPN,225.0,142.5,232.5,600.0,SBD,Single-ply
13,82.5,M,Junior,Michael Kalter,1972,NED,225.0,110.0,250.0,585.0,SBD,Single-ply
14,82.5,M,Junior,Chen-Chen Hsung,,TPE,222.5,120.0,225.0,567.5,SBD,Single-ply
1,90,M,Junior,Kimmo Ilmanen,1967,FIN,312.5,205.0,300.0,817.5,SBD,Single-ply
2,90,M,Junior,Steve Johnston,1968,USA,287.5,177.5,280.0,745.0,SBD,Single-ply
3,90,M,Junior,Miguel Marie-Sante,1968,FRA,275.0,190.0,265.0,730.0,SBD,Single-ply
4,90,M,Junior,Jan Johansen,1967,NOR,285.0,145.0,275.0,705.0,SBD,Single-ply
5,90,M,Junior,Jörg Schmid,1967,FRG,250.0,130.0,305.0,685.0,SBD,Single-ply
6,90,M,Junior,Christer Magnusson,1967,SWE,245.0,155.0,282.5,682.5,SBD,Single-ply
7,90,M,Junior,Jean Zivkovic,1969,AUT,260.0,150.0,270.0,680.0,SBD,Single-ply
8,90,M,Junior,Peter Baumeister,,FRG,277.5,140.0,255.0,672.5,SBD,Single-ply
9,90,M,Junior,Huai-Chin Chin,,TPE,250.0,160.0,220.0,630.0,SBD,Single-ply
10,90,M,Junior,Edgar Babou,,IVC,255.0,130.0,240.0,625.0,SBD,Single-ply
11,90,M,Junior,Attila Rott,,HUN,215.0,150.0,215.0,580.0,SBD,Single-ply
12,90,M,Junior,Tomohiro Ishida,,JPN,200.0,120.0,200.0,520.0,SBD,Single-ply
1,100,M,Junior,Carl Christoffersen,1968,NOR,315.0,192.5,290.0,797.5,SBD,Single-ply
2,100,M,Junior,Arnold Bates,1967,USA,307.5,205.0,282.5,795.0,SBD,Single-ply
3,100,M,Junior,Jarkko Makkonen,1968,FIN,300.0,185.0,270.0,755.0,SBD,Single-ply
4,100,M,Junior,Francesco Bottigleri,1968,ITA,300.0,170.0,285.0,755.0,SBD,Single-ply
5,100,M,Junior,Olaf Nimmerfroh,1971,FRG,300.0,172.5,280.0,752.5,SBD,Single-ply
6,100,M,Junior,Alexander Schütze,1967,FRG,285.0,150.0,252.5,687.5,SBD,Single-ply
7,100,M,Junior,Che-Yi Liao,,TPE,287.5,140.0,260.0,687.5,SBD,Single-ply
8,100,M,Junior,Hitoshi Nakamura,1968,JPN,260.0,160.0,210.0,630.0,SBD,Single-ply
9,100,M,Junior,Attila Graffi,1967,HUN,200.0,130.0,250.0,580.0,SBD,Single-ply
1,110,M,Junior,Sami Kerola,1967,FIN,307.5,182.5,305.0,795.0,SBD,Single-ply
2,110,M,Junior,Mike Siegler,1968,USA,287.5,215.0,287.5,790.0,SBD,Single-ply
3,110,M,Junior,Darren Robinson,1967,USA,280.0,192.5,302.5,775.0,SBD,Single-ply
4,110,M,Junior,Albert Forster,1967,FRG,280.0,170.0,290.0,740.0,SBD,Single-ply
5,110,M,Junior,Gary Christie,1967,GBR,260.0,160.0,317.5,737.5,SBD,Single-ply
6,110,M,Junior,Arve Rønnekleiv,,NOR,280.0,145.0,295.0,720.0,SBD,Single-ply
7,110,M,Junior,Wim Wamsteeker,1968,NED,262.5,140.0,255.0,657.5,SBD,Single-ply
1,125,M,Junior,Karl Saliger,1969,AUT,352.5,230.0,320.0,902.5,SBD,Single-ply
2,125,M,Junior,Mika Valve,1967,FIN,280.0,205.0,335.0,820.0,SBD,Single-ply
3,125,M,Junior,Michael Scheig,1968,FRG,285.0,167.5,285.0,737.5,SBD,Single-ply
4,125,M,Junior,Chao-Chieh Hsiung,1969,TPE,290.0,170.0,277.5,737.5,SBD,Single-ply
1,125+,M,Junior,Brian Bell,1967,GBR,320.0,230.0,332.5,882.5,SBD,Single-ply
2,125+,M,Junior,Luiz Farnettani,1967,BRA,365.0,212.5,305.0,882.5,SBD,Single-ply
3,125+,M,Junior,Wulf Kronemann,1967,FRG,330.0,210.0,297.5,837.5,SBD,Single-ply
4,125+,M,Junior,Jukka Parkkonen,1968,FIN,315.0,210.0,310.0,835.0,SBD,Single-ply
5,125+,M,Junior,Bob Birschbach,1968,USA,310.0,165.0,307.5,782.5,SBD,Single-ply
6,125+,M,Junior,Sean Culnan,1967,USA,295.0,185.0,292.5,772.5,SBD,Single-ply
DQ,125+,M,Junior,Lars Klev,1967,NOR,335.0,192.5,,,SBD,Single-ply
