Place,WeightClassKg,Sex,Division,Name,BirthYear,Country,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Event,Equipment
1,52,M,Junior,Phillip Richard,1971,GBR,185.0,105.0,180.0,470.0,SBD,Single-ply
2,52,M,Junior,Thierry Brunat,1967,FRA,150.0,95.0,205.0,450.0,SBD,Single-ply
3,52,M,Junior,Matti Laatikainen,1972,FIN,147.5,90.0,172.5,410.0,SBD,Single-ply
4,52,M,Junior,Patrick Constantine,1969,GBR,145.0,70.0,190.0,405.0,SBD,Single-ply
5,52,M,Junior,Morten Bergersen,1970,NOR,165.0,82.5,150.0,397.5,SBD,Single-ply
6,52,M,Junior,Rene Karkuschke,1968,FRG,130.0,65.0,150.0,345.0,SBD,Single-ply
7,52,M,Junior,Yang-Ching Fu,,TPE,130.0,60.0,140.0,330.0,SBD,Single-ply
1,56,M,Junior,Magnus Carlsson,1967,SWE,245.0,157.5,120.0,522.5,SBD,Single-ply
2,56,M,Junior,Krisna Shahu,1967,IND,197.5,115.0,200.0,512.5,SBD,Single-ply
3,56,M,Junior,Asko Sirviö,1968,FIN,185.0,127.5,200.0,512.5,SBD,Single-ply
4,56,M,Junior,Jan Christiansen,1969,NOR,175.0,120.0,185.0,480.0,SBD,Single-ply
5,56,M,Junior,Lee-Chun Chieh,,TPE,180.0,90.0,170.0,440.0,SBD,Single-ply
6,56,M,Junior,Michel Bourquard,1968,SUI,180.0,97.5,145.0,422.5,SBD,Single-ply
7,56,M,Junior,Phani Busan Roy,1970,IND,155.0,90.0,175.0,420.0,SBD,Single-ply
8,56,M,Junior,Chen-Chun Jung,,TPE,160.0,90.0,170.0,420.0,SBD,Single-ply
9,56,M,Junior,Jozsef Limbovszky,1974,HUN,150.0,90.0,160.0,400.0,SBD,Single-ply
DQ,56,M,Junior,Todd Jensen,1967,CAN,,,,,SBD,Single-ply
1,60,M,Junior,Jean-Max Riviere,1967,FRA,212.5,125.0,205.0,542.5,SBD,Single-ply
2,60,M,Junior,Timo Hyvärinen,1968,FIN,187.5,105.0,207.5,500.0,SBD,Single-ply
3,60,M,Junior,Mikael Nilsson,1969,SWE,177.5,100.0,220.0,497.5,SBD,Single-ply
4,60,M,Junior,Rune Berger ,1967,NOR,195.0,105.0,197.5,497.5,SBD,Single-ply
5,60,M,Junior,Ulf Andersson,1969,SWE,170.0,105.0,195.0,470.0,SBD,Single-ply
6,60,M,Junior,Michael Bills,,USA,180.0,105.0,175.0,460.0,SBD,Single-ply
DQ,60,M,Junior,Lee-Chen Yi,,TPE,,,,,SBD,Single-ply
1,67.5,M,Junior,Per Berglund,1967,SWE,225.0,155.0,245.0,625.0,SBD,Single-ply
2,67.5,M,Junior,Jussi Huhtanen,1967,FIN,247.5,122.5,245.0,615.0,SBD,Single-ply
3,67.5,M,Junior,Philippe Hoareau,1968,FRA,250.0,127.5,227.5,605.0,SBD,Single-ply
4,67.5,M,Junior,Jonas Bengtsson,1968,SWE,230.0,122.5,230.0,582.5,SBD,Single-ply
5,67.5,M,Junior,Arne Brovold,1967,NOR,220.0,122.5,222.5,565.0,SBD,Single-ply
6,67.5,M,Junior,Alejandro Rodriguez,1970,ESP,207.5,122.5,215.0,545.0,SBD,Single-ply
7,67.5,M,Junior,Stefan Sichelschmidt,,FRG,180.0,125.0,215.0,520.0,SBD,Single-ply
