-52,Kg,,,,,,,,
1,Kazakov,Ravil,82,51.8,Russia,242.5,152.5,195,590
2,Stanasyek,Andrzej,71,51.8,Poland,280,165,135,580
3,Hu,Chun-Hsiung,74,51.8,C.Taipei,215,120,245,580
4,Gainer,Erwin,66,51.4,US.America,197.5,130,230,557.5
5,Watanabe,Shin,70,52,Japan,200,135,200,535
-56,Kg,,,,,,,,
1,Pavlov,Konstantin,73,56,Russia,255,175,222.5,652.5
2,Lu,Shih-Wu,75,55.2,C.Taipei,242.5,117.5,260,620
3,Hsieh,Tsung-Ting,82,55.4,C.Taipei,210,140,255,605
4,Vatyuk,Sergiy,62,55.8,Ukraina,200,152.5,215,567.5
5,Wszola,Darius,78,56,Poland,222.5,140,205,567.5
6,Rakhmankulov,Azat,75,55.6,Uzbekistan,205,110,240,555
7,Nemeth,Jürgen,72,56,Austria,200,115,225,540
8,Whigham,Alan,75,56,US.America,212.5,115,205,532.5
9,Kolsovsky,Stefan,61,55.8,Slovakia,195,137.5,160,492.5
DQ,Sledz,Slawomir,76,55.8,Poland,215,0,0,---.-
-60,Kg,,,,,,,,
1,Andruchin,Mikhail,63,60,Russia,265,150,270,685
2,McNamara,Gerard,63,59.6,Ireland,245,155,252.5,652.5
3,Teteutsa,Viltaliy,77,59.6,Ukraina,240,160,225,625
4,Olech,Mariusz,76,59.8,Poland,230,135,245,610
5,Bachtevanov,Konst,77,59.4,Bulgaria,225,145,235,605
6,Chiu,Chung-Liang,74,59.6,C.Taipei,210,132.5,250,592.5
7,Taylor,Tim,66,59.8,US.America,200,147.5,240,587.5
8,Skirkanic,Dusan,61,59.8,Slovakia,190,115,200,505
9,Gomez,Jason,74,58.8,Philippines,100,147.5,100,347.5
DQ,Isagawa,Hiroyuki,53,59.6,Japan,222.5,0,0,---.-
DQ,Tronke,Maik,76,59.6,Germany,0,0,0,---.-
-67.5,Kg,,,,,,,,
1,Olech,Jaroslaw,74,66.9,Poland,330,165,310,805
2,Sacco,Roberto,75,67.3,Italy,285,145,295,725
3,Nieminen,Sami,75,67.3,Finland,245,160,295,700
4,Huang,Lung-Hsing,81,67.3,C.Taipei,240,175,282.5,697.5
5,Koiwai,Masaharu,76,66.7,Japan,235,175,275,685
6,Richard,Phillip,71,67.2,Great Britain,272.5,172.5,235,680
7,Mihok,Anton,57,67.4,Slovakia,255,170,245,670
8,Noppers,Lewis,70,66.7,Canada,220,135,277.5,632.5
9,Lettner,Richard,74,67.4,Austria,232.5,150,250,632.5
10,Lehocky,Peter,72,67.3,Slovakia,210,150,235,595
11,Ruso,Karel,65,67,Czechia,250,112.5,225,587.5
12,Luu,Nghien,75,67.4,Australia,212.5,110,260,582.5
13,Rheaume,Jean Seba,74,66.8,Canada,162.5,140,185,487.5
14,Rosales,Richie,76,67.1,Philippines,100,165,100,365
DQ,Mitev,Vichar,78,66.6,Bulgaria,0,0,0,---.-
-75,Kg,,,,,,,,
1,Furashkine,Victor,69,74.8,Russia,328.5,215,320,862.5
2,Kutcher,AOleksand,80,74.6,Ukraina,307.5,192.5,315,815
3,Hooper,Wade,70,74.9,US.America,317.5,207.5,260,785
4,Spychala,Jacek,78,74.8,Poland,285,177.5,295,757.5
5,Zeilinger,Andreas,68,74.8,Austria,270,190,267.5,727.5
6,OïConnor,Maurice,53,74.7,Ireland,225,165,280,670
7,Rasmusen,Erik,62,75,Denmark,230,170,230,630
8,Vadasz,Peter,79,74.5,Hungary,230,175,210,615
9,Muir,Sean,70,74.2,Australia,220,142.5,250,612.5
10,Harris,Neville,77,75,Australia,210,162.5,240,612.5
11,Hoppenbrowers,Car,50,74.5,Netherlands,210,140,252.5,602.5
12,Khalid,M.Kahn,77,69.5,Pakistan,140,80,130,350
DQ,Baranov,Viktor,67,73.3,Russia,0,0,0,---.-
DQ,Juodgudis,Dainius,71,74.6,Lithuania,0,0,0,---.-
-82.5,Kg,,,,,,,,
1,Soloviov,Dmytro,70,81.6,Ukraina,307.5,230,300,837.5
2,Wegiera,Jan,65,82,Poland,320,227.5,290,837.5
3,Wagner,Robert,64,82.2,US.America,337.5,195,290,822.5
4,Malinen,Hannu,55,82,Finland,285,192.5,320,797.5
5,Wilk,Michael,81,81.9,Poland,305,190,300,795
6,Rick,Peter,79,82,Hungary,270,195,320,785
7,Andersson,Hans,77,81.5,Sweden,275,202.5,297.5,775
8,Gandner,Frederic,61,82.2,France,295,190,290,775
9,Singh,Jaswinder,64,82.2,Great Britain,285,197.5,285,767.5
10,Milen,Christov,73,81.7,Bulgaria,285,165,310,760
11,Grossbeck,Gerhard,76,82.5,Austria,280,200,280,760
12,Nowak,Kai,78,80.2,Germany,290,195,267.5,752.5
13,Farshid,Soltani,69,82.1,Iran,280,170,282.5,732.5
14,Ackermann,Vaclav,73,80.9,Czechia,260,185,280,725
15,VanderHoek,Piet,76,82.3,Netherlands,277.5,170,275,722.5
16,Sanchez,Marcos,74,78.8,Ecuador,280,150,265,695
17,Thompson,Steve,77,82,New Zealand,235,170,200,605
-90,Kg,,,,,,,,
1,Freydun,Ivan,81,89.4,Ukraina,350,,245,335
2,Marozav,Nikolay,76,88.77,Belorussia,332.5,230,330,892.5
3,Fedenko,Dimitry,75,89.9,Russia,340,210,335,885
4,Theuser,Peter,61,89.99,Czechia,345,222.5,317.5,885
5,Coimbra,Hanibal,72,89.33,Luxembourg,322.5,207.5,325,855
6,Benemerito,Ray,67,89.4,US.America,315,215,312.5,842.5
7,Silbaum,Margus,76,89.8,Estonia,285,192.5,325,802.5
8,Desachy,Dominique,65,89.22,France,305,200,290,795
9,Hornik,Jiri,78,89.1,Czechia,285,190,300,775
10,Varchola,Pavol,78,88.5,Slovakia,260,195,290,745
11,Bettati,Roberto,64,90,Italy,270,165,280,715
12,Giblin,Donald,77,87.9,New Zealand,250,190,250,690
13,Butt,Jeff,70,89.9,Canada,255,192.5,240,687.5
14,King,Stephen,62,88.5,New Zealand,260,147.5,260,667.5
15,Mastrean,Michael,71,88.8,US.America,335,0,0,335
DQ,Burke,Jamie,76,90,Great Britain,0,0,0,---.-
DQ,Ghirardi,Daniele,69,90,Italy,310,0,0,---.-
-100,Kg,,,,,,,,
1,Rokochyy,Olkesiy,81,99.44,Ukraina,385,,240,347.5
2,Federenko,Yury,74,99.2,Russia,365,232.5,365,962.5
3,Vyshnytzskyy,Olek,81,98.7,Ukraina,380,210,357.5,947.5
