-52,Kg,,,,,,,,
4,Ivailo,Christov,79,98.66,Bulgaria,370,225,315,910
5,Peeters,Andre,70,99.1,France,330,215,320,865
6,Sohlmann,Jarmo,69,99.2,Finland,320,220,320,860
7,Bilican,Orhan,78,99.88,Belgium,340,220,285,845
8,Jalonen,Tommi,70,99.66,Finland,320,212.5,300,832.5
9,Weaver,Simon,75,99.2,New Zealand,305,200,285,790
10,Kosnar,Martin,78,99.8,Czechia,300,217.5,272.5,790
11,Bettati,Stefano,68,93.2,Italy,300,175,300,775
12,Rain,Karu,76,98.9,Estonia,292.5,175,305,772.5
13,Gagnon,Eric,68,98.3,Canada,297.5,185,267.5,750
14,Oszwald,Michael,65,99.4,Austria,260,155,270,685
15,Visser,Dennis,77,99.7,Netherlands,270,165,240,675
16,Gidney,Paul,63,96.4,Canada,210,165,242.5,617.5
-110,Kg,,,,,,,,
1,Dedulia,Valentin,77,109,Russia,395,240,355,990
2,Suslov,Nikolay,79,106.4,Russia,380,245,340,965
3,Pomana,Derek,66,109.9,New Zealand,382.5,220,355,957.5
4,Ljungberg,Jörgen,67,109.2,Sweden,370,230,352.5,952.5
5,Karpik,Viktor,80,109.5,Ukraina,380,225,335,940
6,Christoffersen,Ca,71,107.9,Norway,367.5,227.5,310,905
7,Woodside,Kevin,64,108.9,Bahamas,332.5,217.5,352.5,902.5
8,Sarik,Tomas,75,107.8,Czechia,325,235,320,880
9,Flaminio,Daniel,78,108.6,Germany,360,230,290,880
10,Kopola,Hannu,78,109.9,Finland,332.5,207.5,335,875
11,Nicholls,Tom,63,109.6,Canada,320,237.5,310,867.5
12,Taksdal,Tollef,75,109.2,Norway,320,240,305,865
13,Sörige,Lars,68,108.3,Denmark,312.5,212.5,312.5,837.5
14,Pazstor,Juraj,60,110,Slovakia,320,170,325,815
15,Vorup,Stephan,73,109.6,Denmark,330,190,292.5,812.5
16,Neele,Mark,75,109.8,Netherlands,310,190,300,800
17,Kwaschny,Alexande,64,107.5,Germany,275,217.5,305,797.5
18,Hall,Jim,74,106.2,Canada,300,195,275,770
19,Giffin,Steven,63,109.6,Australia,280,190,272.5,742.5
20,Bontekoning,E,74,103.2,Netherlands,287.5,155,287.5,730
21,Molnar,Zsolt,79,105.9,Hungary,250,175,280,705
DQ,Vosylius,Audrius,64,106.4,Lithuania,270,225,0,---.-
DQ,Pellizzoli,France,77,108.2,Italy,0,0,0,---.-
DQ,Belousov,Ignat,76,108.6,Belorussia,0,0,0,---.-
-125,Kg,,,,,,,,
1,Malanichev,Andrey,77,124.6,Russia,400,250,365,1015
2,Arvai,Istvan,74,118.77,Hungary,390,255,365,1010
3,Muravlyov,Volodym,75,123.4,Ukraina,390,250,350,990
4,Jonsson,Audunn,72,124.9,Iceland,380,250,342.5,972.5
5,Cardella,Tony,77,123.3,US.America,365,245,340,950
6,Henry,Clive,66,123.3,Great Britain,415,222.5,310,947.5
7,Wagner,Greg,72,122.9,US.America,372.5,247.5,310,930
8,Paraschkevov,Vese,77,124.7,Bulgaria,355,202.5,347.5,905
9,Hoeyset,Joern,79,123.7,Norway,342.5,215,342.5,900
10,Ichikawa,Masamits,72,114.2,Japan,335,225,320,880
11,Rui,Frode,69,117.9,Norway,340,220,320,880
12,Haidu,Tamas,80,123.5,Hungary,320,215,320,855
13,S”rig,Morten,69,124.8,Denmark,325,225,297.5,847.5
14,Tachibana,Koji,66,123.22,Japan,300,200,310,810
15,Lousich,Steve,65,113.8,New Zealand,285,227.5,250,762.5
DQ,Andreev,Stoian,78,124.77,Bulgaria,0,0,0,---.-
125,Kg,,,,,,,,
1,Papazov,Vitaliy,80,127.4,Ukraina,415,275,367.5,1057.5
2,Gillingham,Brad,63,150.4,US.America,380,277.5,387.5,1045
3,Midote,Daisuke,72,136,Japan,400,305,307.5,1012.5
4,Mesaros,Tibor,67,140.2,Hungary,380,220,407.5,1007.5
5,Sedmik,Zdenek,74,142.1,Czechia,380,280,340,1000
6,Siders,Brian,78,142.4,US.America,365,275,345,985
7,Orobets,Vasyl,66,175.2,Ukraina,390,220,355,965
8,Wahlqvist,Johnny,73,156.6,Sweden,390,245,320,955
9,Martikainen,Jari,75,132.2,Finland,355,215,350,920
10,Staerkjaer,Niels,68,163.2,Denmark,330,280,267.5,877.5
11,Veldeman,Florent,78,200,Belgium,280,260,280,820
12,Wamsteeker,Wim,69,136.2,Netherlands,320,200,280,800
DQ,Bondarenko,Vladim,78,145.8,Russia,410,265,385,0
