Place,WeightClassKg,Sex,Division,Name,BirthYear,Country,BodyweightKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Event,Equipment
1,52,M,Junior,Gery Snyder,1963,USA,50.80,190.0,102.5,205.0,497.5,SBD,Single-ply
2,52,M,Junior,D. Santyamurty,1962,IND,51.70,170.0,100.0,207.5,477.5,SBD,Single-ply
3,52,M,Junior,John Maxwell,1964,GBR,50.00,180.0,85.0,210.0,475.0,SBD,Single-ply
4,52,M,Junior,M. Palaniswami,1963,IND,51.00,175.0,90.0,207.5,472.5,SBD,Single-ply
5,52,M,Junior,Kari Ylijoki,1962,FIN,51.60,195.0,127.5,150.0,472.5,SBD,Single-ply
6,52,M,Junior,C. De Oliveira,1962,BRA,51.50,160.0,90.0,195.0,445.0,SBD,Single-ply
7,52,M,Junior,Enrico Sorrenti,1962,ITA,48.70,135.0,70.0,150.0,355.0,SBD,Single-ply
8,52,M,Junior,Christian Lachmann,1962,AUT,50.50,120.0,70.0,120.0,310.0,SBD,Single-ply
DQ,52,M,Junior,Jaspitar,1962,INA,51.50,,,,,SBD,Single-ply
1,56,,,Talambanua Nanda,1965,INA,55.40,210.0,107.5,225.0,542.5,SBD,Single-ply
2,56,,,C.H. Chandrashekhar,1962,IND,54.40,192.5,90.0,217.5,500.0,SBD,Single-ply
3,56,,,Balai Halder,1963,IND,54.60,182.5,102.5,200.0,485.0,SBD,Single-ply
4,56,,,Gerard McNamara,1963,IRL,55.40,182.5,95.0,200.0,477.5,SBD,Single-ply
5,56,,,Jari Nieminen,1963,FIN,55.70,150.0,90.0,190.0,430.0,SBD,Single-ply
6,56,,,Demir Ugur,1962,FRG,54.10,130.0,90.0,162.5,382.5,SBD,Single-ply
DQ,56,,,A. McFatridge,1962,CAN,55.50,175.0,,,,SBD,Single-ply
DD,56,,,Jim Morgan,1962,USA,54.90,,,,,SBD,Single-ply
1,60,,,Steinar Fredheim,1963,NOR,59.20,197.5,127.5,225.0,550.0,SBD,Single-ply
2,60,,,Jan Bredalen,1963,NOR,59.90,202.5,110.0,215.0,527.5,SBD,Single-ply
3,60,,,G. Shivaprasad,1962,IND,59.10,197.5,105.0,222.5,525.0,SBD,Single-ply
4,60,,,Robino Cardella,1962,ITA,59.70,180.0,120.0,225.0,525.0,SBD,Single-ply
5,60,,,Desmond Dallen,1963,USA,59.40,185.0,105.0,217.5,507.5,SBD,Single-ply
6,60,,,Gerry Duffy,1962,IRL,59.30,190.0,85.0,205.0,480.0,SBD,Single-ply
7,60,,,G. Palsson,1962,ISL,59.60,142.5,100.0,185.0,427.5,SBD,Single-ply
DQ,60,,,A.G. Raju,1963,IND,58.30,,,,,SBD,Single-ply
1,67.5,,,Niklas Yngvesson,1963,SWE,66.60,242.5,135.0,250.0,627.5,SBD,Single-ply
2,67.5,,,Francis Mezzanotte,1963,BEL,67.40,245.0,115.0,252.5,612.5,SBD,Single-ply
3,67.5,,,Jarmo Ronkainen,1962,FIN,66.70,210.0,150.0,230.0,590.0,SBD,Single-ply
4,67.5,,,Ken Jackson,1962,GBR,66.30,220.0,130.0,235.0,585.0,SBD,Single-ply
5,67.5,,,Ari Kuosmanen,1962,FIN,67.20,210.0,137.5,220.0,567.5,SBD,Single-ply
6,67.5,,,Rene Fortier,1962,CAN,66.00,230.0,125.0,205.0,560.0,SBD,Single-ply
7,67.5,,,Gianni Zerbini,1962,ITA,67.00,210.0,105.0,240.0,555.0,SBD,Single-ply
8,67.5,,,Fabrizio Buisson,1962,FRA,64.00,215.0,115.0,215.0,545.0,SBD,Single-ply
9,67.5,,,Michael Schmidt,1962,FRG,66.90,187.5,125.0,200.0,512.5,SBD,Single-ply
10,67.5,,,Markus Stappenbeck,1963,FRG,63.70,180.0,137.5,190.0,507.5,SBD,Single-ply
11,67.5,,,Branko Jovanovic,1962,AUT,63.70,200.0,92.5,195.0,487.5,SBD,Single-ply
12,67.5,,,Piet Sanders,1962,NED,66.60,167.5,110.0,210.0,487.5,SBD,Single-ply
13,67.5,,,M. Oskarsson,1962,ISL,67.00,155.0,87.5,192.5,435.0,SBD,Single-ply
DQ,67.5,,,Jesse Kellum,1963,USA,67.00,245.0,,,,SBD,Single-ply
DQ,67.5,,,Jan Theys,1963,BEL,67.30,,,,,SBD,Single-ply
1,75,,,Andrew Rose,1962,GBR,74.80,265.0,180.0,270.0,715.0,SBD,Single-ply
2,75,,,Henrik Söderman,1962,FIN,74.40,250.0,157.5,260.0,667.5,SBD,Single-ply
3,75,,,Markku Vierikko,1962,FIN,75.00,225.0,160.0,260.0,645.0,SBD,Single-ply
4,75,,,Reagen Black,1962,USA,74.10,237.5,145.0,252.5,635.0,SBD,Single-ply
5,75,,,Davide Cantoni,1962,ITA,74.50,252.5,125.0,255.0,632.5,SBD,Single-ply
6,75,,,A. Yanto,1963,INA,75.00,240.0,110.0,275.0,625.0,SBD,Single-ply
7,75,,,Vincent Encinas,1962,FRA,73.30,225.0,160.0,230.0,615.0,SBD,Single-ply
8,75,,,Frederic Buttigiegg,1962,FRA,74.10,230.0,130.0,240.0,600.0,SBD,Single-ply
9,75,,,G. Payne,1962,CAN,72.50,237.5,122.5,232.5,592.5,SBD,Single-ply
10,75,,,Roberto Bettati,1962,ITA,74.10,220.0,110.0,255.0,585.0,SBD,Single-ply
11,75,,,Eduard Zino,1962,BRA,73.60,235.0,122.5,205.0,562.5,SBD,Single-ply
12,75,,,Olaf Sveinsson,1962,ISL,73.60,190.0,127.5,210.0,527.5,SBD,Single-ply
13,75,,,S. Ramamurthy,1962,IND,69.40,180.0,107.5,230.0,517.5,SBD,Single-ply
14,75,,,A. Gupta,1962,IND,81.50,170.0,100.0,200.0,470.0,SBD,Single-ply
DQ,75,,,Richard Singer,1962,AUT,74.00,,,,,SBD,Single-ply
DQ,75,,,Hubert Lichtenstern,1962,FRG,74.40,,,,,SBD,Single-ply
1,82.5,,,Jarmo Virtanen,1963,FIN,82.20,300.0,197.5,317.5,815.0,SBD,Single-ply
2,82.5,,,Walt Stamper,1962,USA,81.80,267.5,197.5,255.0,720.0,SBD,Single-ply
3,82.5,,,David Boyce,1963,AUS,82.30,265.0,160.0,280.0,705.0,SBD,Single-ply
