Place,WeightClassKg,Sex,Division,Name,BirthYear,Country,BodyweightKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Event,Equipment
4,82.5,,,A. Hansson,1962,SWE,82.00,260.0,152.5,290.0,702.5,SBD,Single-ply
5,82.5,,,Alfred Elend,1962,AUT,80.90,270.0,155.0,270.0,695.0,SBD,Single-ply
6,82.5,,,M. Paderiva,1962,ITA,81.30,262.5,142.5,285.0,690.0,SBD,Single-ply
7,82.5,,,Guy Devrien,1963,BEL,81.00,260.0,130.0,265.0,655.0,SBD,Single-ply
8,82.5,,,John Brown,1962,AUS,79.30,235.0,137.5,280.0,652.5,SBD,Single-ply
9,82.5,,,Gianni Pacchioli,1962,LUX,80.40,250.0,150.0,250.0,650.0,SBD,Single-ply
10,82.5,,,Christian Braumann,1964,FRG,81.50,240.0,130.0,265.0,635.0,SBD,Single-ply
11,82.5,,,Anton Resch,1963,FRG,80.90,235.0,170.0,227.5,632.5,SBD,Single-ply
12,82.5,,,Audunn Johnson,1962,ISL,80.90,185.0,110.0,210.0,505.0,SBD,Single-ply
DQ,82.5,,,B. Havneras,1962,NOR,82.00,270.0,155.0,,,SBD,Single-ply
DQ,82.5,,,Barry Nemish,1962,CAN,82.40,200.0,140.0,,,SBD,Single-ply
DD,82.5,,,Scott Boyd,1962,AUS,81.60,,,,,SBD,Single-ply
1,90,,,Dave Castellano,1963,USA,88.50,290.0,187.5,317.5,795.0,SBD,Single-ply
2,90,,,R. Ghattas,,BRA,,280.0,185.0,287.5,752.5,SBD,Single-ply
3,90,,,Aarre Käpylä,1964,FIN,89.40,272.5,162.5,315.0,750.0,SBD,Single-ply
4,90,,,Leif Wahlander,1962,SWE,89.40,275.0,172.5,300.0,747.5,SBD,Single-ply
5,90,,,Olaf Halter,1962,FRG,89.50,260.0,182.5,280.0,722.5,SBD,Single-ply
6,90,,,B. Phorsson,1962,ISL,87.60,265.0,165.0,240.0,670.0,SBD,Single-ply
7,90,,,Morten Haugseng,1962,NOR,89.00,235.0,140.0,285.0,660.0,SBD,Single-ply
8,90,,,F. Charite,1962,NED,89.50,245.0,150.0,250.0,645.0,SBD,Single-ply
9,90,,,Edmond Peterlana,1962,ITA,89.20,230.0,130.0,230.0,590.0,SBD,Single-ply
DQ,90,,,Neil Quinn,1962,GBR,89.20,300.0,177.5,,,SBD,Single-ply
DQ,90,,,Peter Platwell,1962,AUS,86.80,,,,,SBD,Single-ply
DD,90,,,Dave Walsh,1962,GBR,88.90,,,,,SBD,Single-ply
1,100,,,Roger Enqvist,1962,SWE,96.20,310.0,205.0,287.5,802.5,SBD,Single-ply
2,100,,,Juha Hyttinen,1963,FIN,99.10,305.0,187.5,295.0,787.5,SBD,Single-ply
3,100,,,Steve Lumpee,1962,USA,94.40,287.5,180.0,310.0,777.5,SBD,Single-ply
4,100,,,Trevor Hubble,1963,GBR,98.20,300.0,195.0,270.0,765.0,SBD,Single-ply
5,100,,,Johann Kapsecker,1962,FRG,98.20,270.0,195.0,275.0,740.0,SBD,Single-ply
6,100,,,Auro Lanfredi,1962,ITA,99.00,295.0,152.5,290.0,737.5,SBD,Single-ply
7,100,,,Terje Sandbo,1963,NOR,98.40,287.5,155.0,280.0,722.5,SBD,Single-ply
8,100,,,L. De Hahn,1962,NED,99.20,245.0,170.0,270.0,685.0,SBD,Single-ply
9,100,,,Piet Faber,1962,NED,97.60,265.0,187.5,230.0,682.5,SBD,Single-ply
10,100,,,Domingos,1962,INA,97.70,260.0,135.0,280.0,675.0,SBD,Single-ply
11,100,,,Dan Bruce,1962,CAN,93.30,240.0,180.0,217.5,637.5,SBD,Single-ply
12,100,,,Steindorsson,1962,ISL,98.60,245.0,132.5,260.0,637.5,SBD,Single-ply
DQ,100,,,D. Van Opinnen,1962,AUS,96.60,,,,,SBD,Single-ply
1,110,,,Neil Jones,1962,GBR,107.90,292.5,165.0,320.0,777.5,SBD,Single-ply
2,110,,,Alfred Neugenauer,1962,AUT,104.10,280.0,200.0,280.0,760.0,SBD,Single-ply
3,110,,,Magnus Magnusson,1962,ISL,101.50,245.0,152.5,260.0,657.5,SBD,Single-ply
4,110,,,O. Dutta,1962,IND,100.50,250.0,135.0,225.0,610.0,SBD,Single-ply
DQ,110,,,Davide Fortune,1962,ITA,104.10,347.5,185.0,,,SBD,Single-ply
DQ,110,,,Sturla Davidsen,1964,NOR,103.70,,,,,SBD,Single-ply
DD,110,,,Paul Immekus,1962,USA,107.50,,,,,SBD,Single-ply
DD,110,,,Walt Nolles,1962,NED,100.20,,,,,SBD,Single-ply
1,125,,,Dave Pasanella,1962,USA,121.10,342.5,235.0,327.5,905.0,SBD,Single-ply
2,125,,,Thomas Klose,1966,FRG,114.20,320.0,162.5,290.0,772.5,SBD,Single-ply
3,125,,,Sandro Schwald,1964,FRG,112.50,290.0,142.5,290.0,722.5,SBD,Single-ply
4,125,,,S. Radhakrishnan,1962,IND,110.10,265.0,170.0,270.0,705.0,SBD,Single-ply
5,125,,,L. Hoeld,1963,NED,123.10,300.0,150.0,230.0,680.0,SBD,Single-ply
6,125,,,M. Eggertson,1962,ISL,110.10,235.0,157.5,250.0,642.5,SBD,Single-ply
7,125,,,Anton Griesner,1963,AUT,112.70,240.0,162.5,235.0,637.5,SBD,Single-ply
DD,125,,,Ricardo Maluf,1963,BRA,,,,,,SBD,Single-ply
1,125+,,,Torfi Olafsson,1962,ISL,165.00,315.0,180.0,312.5,807.5,SBD,Single-ply
2,125+,,,Kevin Faber,1963,USA,130.70,277.5,195.0,300.0,772.5,SBD,Single-ply
3,125+,,,Sulevi Eriksson,1962,SWE,128.60,300.0,180.0,290.0,770.0,SBD,Single-ply
4,125+,,,Hjalti Arnasson,1962,ISL,127.90,250.0,185.0,300.0,735.0,SBD,Single-ply
5,125+,,,Mike Higgins,1962,GBR,133.30,250.0,155.0,270.0,675.0,SBD,Single-ply
6,125+,,,Francis Souza,1963,FRA,127.50,260.0,110.0,220.0,590.0,SBD,Single-ply
