-52,Kg,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bazaev/Sirajoutin/68,74.3,Ukraina,,,,,,,310,,,175,,,305,,,790,...,566.66,,,,,
2,Furazhkin/Victor/69,,74.4,Russia,,,,,,,305,,,192.5,,,290,,,787.5,...,564.32,,,,
3,Baranov/Victor/67,,,72.1,Russia,,,,,,,307.5,,,165,,,307.5,,,780,...,571.74,,,
4,Hooper/Wade/70,,,,74.4,US.America,,,,,320,.NB,207.5,,,252.5,,,780,...,558.94,,,,,
5,Wegiera/Jan/65,,,,74.6,Poland,,,,,,,290,,,200,,,275,,,765,...,547.12,,
6,Rimoldi/Arnoldo/74,,74.9,Italy,,,,,,,,280,,,155,,,320,,,755,...,538.46,,,
7,Turakhanov/Dovran/75,74.8,Kazahkstan,,,,,290,,,160,,,292.5,,,742.5,...,530.07,,,,,,,
8,Theys/Jan/63,,,,,74.7,Belgium,,,,,,,270,,,180,,,290,.NB,740,...,528.8,,
9,Takahishi/Koki/70,,,74.7,Japan,,,,,,,,275,,,187.5,,,270,,,732.5,.NB,523.44,,
10,Celis/Oscar/75,,,,73.8,Venezuela,,,,,,275,,,150,,,300,,,725,.NB,522.5,,,
11,Joudgudis/Dainius/71,74.7,Lithuania,,,,,,275,,,160,,,282.5,,,717.5,...,512.72,,,,,,
12,Valentinsen/Sigve/60,74.4,Norway,,,,,,,265,,,160,,,280,,,705,...,505.2,,,,,
13,Skogly/Tor-Egil/64,,74.1,Norway,,,,,,,245,,,162.5,,,282.5,.NB,690,.NB,495.83,,,,,
14,Usami/Kiyotaka/70,,,74.6,Japan,,,,,,,,250,,,180,,,260,,,690,...,493.48,,
15,Elangovan/G./66,,,,74.1,India,,,,,,,,265,,,150,,,265,,,680,...,488.64,
16,Nikolaizig/Mike/65,,73.9,Germany,,,,,,,247.5,.NB,175,,,250,,,672.5,...,484.2,,,,,
17,OïConnor/Maurice/53,,74.4,Ireland,,,,,,,230,,,157.5,,,280,,,667.5,...,478.33,,,,
18,Mamukov/Rizvan/80,,,73.7,Uzbekistan,,,,,250,,,160,,,250,,,660,...,476.12,,,,,
19,Leung/Hoi/69,,,,,75,Canada,,,,,,,230,,,130,,,247.5,,,607.5,...,432.9,
20,Casas/Jose,M/54,,,,73.8,Argentina,,,,,,230,,,155,.NB,220,,,605,...,436.02,,,
21,Medina/Daniel/69,,,74.4,Mexico,,,,,,,225,,,130,,,225,,,580,...,415.62,,,
--.,Martinez/Victor/63,,72.7,Colombia,,,,,,230,,,0,,,0,,,---.-,Disq,167.55,,,,,
--.,Niccolini/Arigo/56,,74.3,Italy,,,,,,,,0,,,0,,,0,,,---.-,Disq,0,,,
--.,Lappi/Ismo,Antero/73,74.5,Finland,,,,,,,245,,,0,,,0,,,---.-,Disq,175.39,,,,
-82.5,Kg,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ricks/Dave/59,,,,,81.8,US.America,,,,,315,,,210,,,332.5,,,857.5,WRM,577.44,,,
2,Mor/Sergei/69,,,,,82.2,Russia,,,,,,,317.5,.NB,225,,,315,,,857.5,.NB,575.72,,
3,Ghilardi/Daniele/71,,82,Italy,,,,,,,,300,,,190,,,350,,,840,...,564.81,,,
4,Soloviov/Dmytro/70,,81.2,Ukraina,,,,,,,310,,,222.5,,,290,,,822.5,...,556.33,,,,
5,Turner/Chris/73,,,,81.4,US.America,,,,,300,,,195,,,300,,,795,...,536.94,,,,
6,Kurtiak/Vasyl/61,,,81.8,Ukraina,,,,,,,285,,,182.5,,,310,,,777.5,...,523.56,,,
7,Carter/Dave/63,,,,81.7,G.,Britain,,,,,277.5,,,172.5,,,320,,,770,...,518.9,,,
8,Coimbra/Anibal/72,,,81.8,Luxembg,,,,,,,285,.NR,175,.NB,300,,,760,.NB,511.78,,,,,
9,Brown/Bob/63,,,,,82.2,Bahamas,,,,,,,292.5,,,182.5,,,282.5,,,757.5,.NB,508.58,
10,Sasaki/Kenichi/71,,,82,Japan,,,,,,,,280,,,210,,,265,,,755,...,507.66,,
11,Gandner/Frederic/61,,81.7,France,,,,,,,280,,,187.5,,,285,,,752.5,...,507.1,,,,
12,Andersson/Stefan/68,,81.9,Sweden,,,,,,,285,,,190,,,277.5,,,752.5,...,506.35,,,,
13,Singh/Jaswinder/75,,82,G.,Britain,,,,,267.5,,,190,,,282.5,,,740,...,497.57,,,,,
14,Bruggink/Ab/61,,,,81.6,Holland,,,,,,,267.5,,,177.5,,,277.5,,,722.5,...,487.25,,
15,Matveyev/Dmitri/78,,81,Kazahkstan,,,,,270,,,145,,,300,,,715,...,484.34,,,,,,
16,Neto/Philippe/75,,,82.5,France,,,,,,,272.5,,,197.5,,,245,,,715,...,478.97,,,
17,Toso/Luca/72,,,,,78.5,Italy,,,,,,,,260,,,157.5,,,285,,,702.5,...,485.42
18,DiMarco/Antonio/75,,77.9,Germany,,,,,,,260,,,180,,,250,,,690,.NB,479.2,,,,
19,Karatajevs/Vitaly/70,81.3,Latvia,,,,,,,280,,,150,,,250,,,680,...,459.61,,,,,
20,King/Stephen/62,,,,81.3,New,Zeeland,,,,,257.5,,,140,,,267.5,,,665,...,449.47,,,
