Place,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
4,Yu Chou Chien,1983,TPE,59.3,160,167.5,172.5,172.5,90,-100,-102.5,90.0,185,192.5,-197.5,192.5,455,60,Open,SBD,F,Single-ply
5,Laura Locatelli,1957,ITA,58.45,160,-167.5,-167.5,160.0,90,-95,95,95.0,185,195,-200,195.0,450,60,Open,SBD,F,Single-ply
6,Jennifer Perry,1982,USA,58.75,150,160,170,170.0,90,95,-102.5,95.0,150,160,170,170.0,435,60,Open,SBD,F,Single-ply
7,Carina Persson,1967,SWE,59.9,145,160,170,170.0,70,75,-77.5,75.0,170,185,190,190.0,435,60,Open,SBD,F,Single-ply
8,Linda Hoiland,1979,NOR,59.35,150,157.5,162.5,162.5,80,-85,-85,80.0,170,177.5,182.5,182.5,425,60,Open,SBD,F,Single-ply
9,Yukie Terada,1974,JPN,59.4,135,-147.5,-147.5,135.0,-95,-95,95,95.0,140,155,-160,155.0,385,60,Open,SBD,F,Single-ply
10,Michelle Cruz,1982,PHI,59.85,-135,-135,135,135.0,-75,75,-85,75.0,130,142.5,-147.5,142.5,352.5,60,Open,SBD,F,Single-ply
11,Anett Langva,1979,NOR,57.25,125,130,-132.5,130.0,-85,85,-90,85.0,65,-125,-125,65.0,280,60,Open,SBD,F,Single-ply
DQ,Riitta Liimatainen,1963,SWE,57.6,-167.5,-167.5,-167.5,,50,,,50.0,,,,,,60,Open,SBD,F,Single-ply,,,,
DQ,Annymaryuth Amaya,1980,VEN,59.6,175,190,195,195.0,-95,-95,-95,,175,190,200,200.0,,60,Open,SBD,F,Single-ply
DD,Tejeswani Naidu,1979,IND,57.4,165,-175,-175,165.0,90,-95,-95,90.0,175,-180,-182.5,175.0,,60,Open,SBD,F,Single-ply
DD,Nadejda Malyugina,1979,UZB,59.95,180,200,205,205.0,105,-115,115,115.0,185,200,210,210.0,,60,Open,SBD,F,Single-ply
1,Priscilla Ribic,1972,USA,66.9,220,235,242.5,242.5,130,-140,-140,130.0,222.5,237.5,-252.5,237.5,610,67.5,Open,SBD,F,Single-ply
2,Antonietta Orsini,1964,ITA,66.55,200,210.0,-215,210.0,137.5,140.0,145.0,145.0,190,200,210,210.0,565.0,67.5,Open,SBD,F,Single-ply
3,Inna Terasmaa,1967,EST,66.7,-170,170,180,180.0,105,115,-120,115.0,170,180,190,190.0,485,67.5,Open,SBD,F,Single-ply
4,Bente Arntsen,1976,NOR,67,-167.5,167.5,172.5,172.5,-127.5,127.5,-132.5,127.5,167.5,-175,-175,167.5,467.5,67.5,Open,SBD,F,Single-ply
5,Elisabeth Wahlander,1960,SWE,66.3,165,175,180,180.0,90,-100,-100,90.0,175,187.5,192.5,192.5,462.5,67.5,Open,SBD,F,Single-ply
6,Maria Virtanen,1977,FIN,66.85,175,-180,-180,175.0,100,107.5,-112.5,107.5,155,165,170,170.0,452.5,67.5,Open,SBD,F,Single-ply
7,Hege Helseth,1982,NOR,66.1,155,162.5,167.5,167.5,-92.5,-92.5,92.5,92.5,155,162.5,-170,162.5,422.5,67.5,Open,SBD,F,Single-ply
8,Lise Ejlertsen,1982,DEN,66.45,140,157.5,-170,157.5,85,-95,-95,85.0,160,-185,-185,160.0,402.5,67.5,Open,SBD,F,Single-ply
9,Judith Meerding,1981,NED,66.55,137.5,-145,145,145.0,80,87.5,90,90.0,140,150,-152.5,150.0,385,67.5,Open,SBD,F,Single-ply
10,Jenis Joseph,1987,IND,66.6,-125,-130,130,130.0,52.5,-57.5,-57.5,52.5,130,135,-140,135.0,317.5,67.5,Open,SBD,F,Single-ply
DQ,Ranu Mohanty,1982,IND,67.35,190,-200,-200,190.0,82.5,-87.5,-87.5,82.5,-190,-195,-195,,,67.5,Open,SBD,F,Single-ply
1,Inger Blikra,1961,NOR,74.35,205,225,-235,225.0,130,137.5,142.5,142.5,205,217.5,225.0,225.0,592.5,75,Open,SBD,F,Single-ply
2,Ingunn Haakonsen,1976,NOR,72.1,200,207.5,212.5,212.5,120,-125,125,125.0,195,205,210,210.0,547.5,75,Open,SBD,F,Single-ply
3,Eva-Maria Gall,1970,GER,72.55,157.5,165,-170,165.0,110,117.5,122.5,122.5,175,185,197.5,197.5,485,75,Open,SBD,F,Single-ply
4,Yosleinys Fernandez,1984,VEN,72.3,-205,-205,205,205.0,80,-90,90,90.0,165,177.5,185,185.0,480,75,Open,SBD,F,Single-ply
5,Maria Gudensteisdottir,1970,ISL,70.45,-155,155,165,165.0,100,-105,105,105.0,185,195,-197.5,195.0,465,75,Open,SBD,F,Single-ply
DD,Bhagwat Madhuri,1965,IND,74.5,190,-197.5,197.5,197.5,90,100,-105,100.0,180,187.5,192.5,192.5,,75,Open,SBD,F,Single-ply
1,Liane Blyn,1972,USA,76.6,200,212.5,225,225.0,125,130,-140,130.0,192.5,205,-215,205.0,560,82.5,Open,SBD,F,Single-ply
2,Heidi Arnesen Hille,1970,NOR,75.8,200,207.5,-217.5,207.5,117.5,120,-125,120.0,185,195,205,205.0,532.5,82.5,Open,SBD,F,Single-ply
3,Tarja Koski-Sipila,1980,FIN,82.3,207.5,217.5,-222.5,217.5,112.5,120,125,125.0,175,-187.5,190,190.0,532.5,82.5,Open,SBD,F,Single-ply
4,Dorota Szczepanik,1969,POL,81.4,-155,-160,160,160.0,-122.5,122.5,127.5,127.5,155,165,-175,165.0,452.5,82.5,Open,SBD,F,Single-ply
DQ,Anita Saebo,1968,NOR,75.55,-175,175,180,180.0,-107.5,-107.5,-107.5,,162.5,167.5,-175,167.5,,82.5,Open,SBD,F,Single-ply
1,Ielja Strik,1973,NED,87.3,235,245,250,250.0,-170,170,-180,170.0,200,220,-227.5,220.0,640,90,Open,SBD,F,Single-ply
2,Bonica Brown,1988,USA,87.2,190,215,230.0,230.0,105,115,125.0,125.0,185,202.5,212.5,212.5,567.5,90,Open,SBD,F,Single-ply
3,Chang Ya Wen,1984,TPE,84.45,200,217.5,230,230.0,-110,110,-120,110.0,190,205,-215,205.0,545,90,Open,SBD,F,Single-ply
4,Rosemarie Beer,1945,AUT,87.55,160,170,175.0,175.0,125,130,-132.5,130.0,165,175,185.0,185.0,490.0,90,Open,SBD,F,Single-ply
5,Yuliya Stesenko,1984,UZB,88,190,200,-210,200.0,-110,110,-122.5,110.0,180,-200,-200,180.0,490,90,Open,SBD,F,Single-ply
6,Min-Chu Hung,1983,TPE,84.25,170,190,-200,190.0,130,137.5,-170,137.5,120,150,-190,150.0,477.5,90,Open,SBD,F,Single-ply
7,Midori Kato,1971,JPN,87.5,160,-172.5,172.5,172.5,80,87.5,92.5,92.5,160,172.5,177.5,177.5,442.5,90,Open,SBD,F,Single-ply
8,Adi Udayam,1990,IND,85.1,-120,-120,120,120.0,35,42.5,-50,42.5,110,115,-125,115.0,277.5,90,Open,SBD,F,Single-ply
1,Hildeborg Hugdal,1983,NOR,121.75,255,262.5,265.0,265.0,175,180,185,185.0,200.0,-210,210,210.0,660,90+,Open,SBD,F,Single-ply
2,Jessica O'Donnell,1980,USA,96.2,240,-260,262.5,262.5,155,-167.5,-167.5,155.0,215,232.5,-242.5,232.5,650,90+,Open,SBD,F,Single-ply
3,Joanne Schaefer,1967,NED,104.55,225,-240,240,240.0,-175,175,180,180.0,210,220,-232.5,220.0,640,90+,Open,SBD,F,Single-ply
4,Yeh Chao Chen,1971,TPE,121,-230,242.5,-245,242.5,157.5,-170,170,170.0,180,200,212.5,212.5,625,90+,Open,SBD,F,Single-ply
5,Lilian Matonina,1980,EST,103.35,205,-215,-215,205.0,125,132.5,-137.5,132.5,190,202.5,210,210.0,547.5,90+,Open,SBD,F,Single-ply
6,Marie Thorton,1981,GBR,99.9,220,-235,235,235.0,102.5,-107.5,107.5,107.5,185,195,202.5,202.5,545,90+,Open,SBD,F,Single-ply
7,Brenda V.D.Meulen,1978,NED,99.8,195,-202.5,-202.5,195.0,140,-147.5,147.5,147.5,175,185,-187.5,185.0,527.5,90+,Open,SBD,F,Single-ply
8,Sonia Manaena,1961,NZL,98.4,170,185,-195,185.0,85,-95,-95,85.0,170,180,-187.5,180.0,450,90+,Open,SBD,F,Single-ply
DQ,Brandie Hirai,1974,USA,111.6,-210,-210,-220,,-145,-145,-145,,187.5,-200,-200,187.5,,90+,Open,SBD,F,Single-ply
