Place,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
4,Agnieszka Leszczynska,1980,POL,68.8,180,190,200,200,70,70,75,75,170,180,185,185,460,75,Junior,SBD,F,Single-ply
5,Jeanet Schrievers,1976,GER,74.2,155,162.5,170,170,80,85,90,90,130,140,147.5,147.5,402.5,75,Junior,SBD,F,Single-ply
6,Julia Loya,1980,USA,73.5,140,155,162.5,162.5,72.5,77.5,77.5,77.5,142.5,157.5,165,165,392.5,75,Junior,SBD,F,Single-ply
7,Kristiina Blinnikka,1979,FIN,74.1,135,145,147.5,147.5,85,85,90,90,152.5,157.5,162.5,162.5,390,75,Junior,SBD,F,Single-ply
8,Päivi Kumpulainen,1978,FIN,72.2,140,145,152.5,152.5,82.5,87.5,90,90,135,145,147.5,147.5,387.5,75,Junior,SBD,F,Single-ply
9,Christina Newman,1977,USA,73.2,125,137.5,137.5,137.5,90,97.5,102.5,102.5,142.5,145,147.5,147.5,382.5,75,Junior,SBD,F,Single-ply
10,Michaela Strbakova,1983,CZE,71.7,105,115,125,125,55,55,67.5,67.5,105,130,145,145,310,75,Junior,SBD,F,Single-ply
11,Erika Thoth,1982,HUN,70.8,100,105,115,115,60,65,70,70,100,110,125,125,305,75,Junior,SBD,F,Single-ply
DQ,Min-Chu Hung,1983,TPE,73.4,140,170,175,175,110,110,110,110,,,,,,75,Junior,SBD,F,Single-ply
1,Alena Manakova,1977,CZE,82.4,170,180,180,180,92.5,100,100,100,190,200,200,200,480,82.5,Junior,SBD,F,Single-ply
2,Nikolette Nanasi,1982,HUN,76.1,155,165,175,175,95,100,100,100,157.5,167.5,177.5,177.5,452.5,82.5,Junior,SBD,F,Single-ply
3,Yoshiko Mure,1978,JPN,75.1,155,165,170,170,105,115,115,115,157.5,170,175,175,450,82.5,Junior,SBD,F,Single-ply
4,Elena Yurik,1977,RUS,77.6,120,140,160,160,130,137.5,137.5,137.5,170,192.5,192.5,192.5,447.5,82.5,Junior,SBD,F,Single-ply
5,Ewa Przytulska,1982,POL,75.1,162.5,170,175,175,92.5,95,97.5,97.5,162.5,170,177.5,177.5,442.5,82.5,Junior,SBD,F,Single-ply
6,Jana Sedlaсkova,1980,SVK,75.9,140,150,160,160,70,77.5,82.5,82.5,155,155,175,175,402.5,82.5,Junior,SBD,F,Single-ply
7,Jennifer Busby,1977,GBR,80.7,140,150,160,160,65,70,72.5,72.5,155,165,167.5,167.5,400,82.5,Junior,SBD,F,Single-ply
8,Katie Ford,1981,USA,79.7,130,130,145,145,82.5,90,95,95,150,160,162.5,162.5,397.5,82.5,Junior,SBD,F,Single-ply
1,Pei-Jung Lee,1983,TPE,89.9,190,200,200,200,120,132.5,132.5,132.5,175,185,202.5,202.5,505,90,Junior,SBD,F,Single-ply
2,Julia Kurina,1981,RUS,87.3,190,205,215,215,80,90,95,95,170,185,192.5,192.5,490,90,Junior,SBD,F,Single-ply
3,A. Dziewiczkiewicz,1979,POL,83,145,150,160,160,85,92.5,97.5,97.5,155,165,170,170,417.5,90,Junior,SBD,F,Single-ply
4,Brenda v.d. Meulen,1978,NED,84.5,145,155,160,160,95,102.5,105,105,152.5,157.5,157.5,157.5,410,90,Junior,SBD,F,Single-ply
5,Sara Hoitink,1980,USA,83.7,147.5,155,162.5,162.5,72.5,80,85,85,150,160,165,165,407.5,90,Junior,SBD,F,Single-ply
6,Marzena Zieba,1981,POL,82.6,170,180,180,180,70,75,80,80,150,162.5,162.5,162.5,395,90,Junior,SBD,F,Single-ply
1,Chia-Sui Lee,1977,TPE,117.3,260,280,280,280,147.5,152.5,155,155,225,225,247.5,247.5,657.5,90+,Junior,SBD,F,Single-ply
2,Elena Avilkina,1977,RUS,99.1,200,210,210,210,105,115,122.5,122.5,180,190,197.5,197.5,515,90+,Junior,SBD,F,Single-ply
3,Angela Torskaya,1977,UKR,98.8,180,200,205,205,105,110,110,110,180,190,200,200,505,90+,Junior,SBD,F,Single-ply
4,Sarah Greenup,1982,USA,99.3,202.5,210,220,220,92.5,100,100,100,182.5,192.5,192.5,192.5,505,90+,Junior,SBD,F,Single-ply
5,Kata Urbanovicova,1977,SVK,108.5,155,155,155,155,65,65,80,80,140,150,160,160,370,90+,Junior,SBD,F,Single-ply
1,Dariusz Wszola,1978,POL,51.5,195,205,212.5,212.5,110,115,117.5,117.5,165,172.5,177.5,177.5,500,52,Junior,SBD,M,Single-ply
2,Tomoyuki Kondo,1978,JPN,51.6,165,180,187.5,187.5,112.5,117.5,122.5,122.5,170,185,187.5,187.5,490,52,Junior,SBD,M,Single-ply
3,Azat Rakhmankulov,1979,UZB,51.7,130,155,170,170,70,85,95,95,150,175,192.5,192.5,447.5,52,Junior,SBD,M,Single-ply
4,Shih-Lun Su,1984,TPE,51.7,145,157.5,162.5,162.5,80,80,87.5,87.5,160,175,187.5,187.5,417.5,52,Junior,SBD,M,Single-ply
5,Lubos Kostura,1981,SVK,51.4,130,140,145,145,75,80,85,85,140,150,155,155,380,52,Junior,SBD,M,Single-ply
6,Ravil Nasyrov,1979,UZB,51.9,120,140,140,140,70,80,95,95,140,160,187.5,187.5,380,52,Junior,SBD,M,Single-ply
7,Yusuke Tsuji,1976,JPN,51.6,125,125,140,140,90,100,100,100,140,155,155,155,370,52,Junior,SBD,M,Single-ply
8,Gustav Bihary,1979,SVK,45,100,110,120,120,70,77.5,80,80,135,140,147.5,147.5,345,52,Junior,SBD,M,Single-ply
1,Tsung-Ting Hsieh,1982,TPE,55,210,225,230,230,120,127.5,135,135,220,230,252.5,252.5,617.5,56,Junior,SBD,M,Single-ply
2,Nikolai Asabin,1979,RUS,55.5,200,210,217.5,217.5,117.5,125,127.5,127.5,200,210,210,210,542.5,56,Junior,SBD,M,Single-ply
3,Frederic Tinebra,1978,FRA,55.8,195,202.5,205,205,117.5,125,130,130,180,195,200,200,525,56,Junior,SBD,M,Single-ply
4,Slawomir Sledz,1976,POL,55.9,185,200,205,205,135,140,140,140,180,190,200,200,525,56,Junior,SBD,M,Single-ply
5,George Cunningham,1979,USA,55.5,177.5,187.5,195,195,105,105,105,105,195,210,217.5,217.5,510,56,Junior,SBD,M,Single-ply
6,Cien-Ming Chan,1976,TPE,55.6,190,195,,195,95,95,97.5,97.5,200,212.5,220,220,497.5,56,Junior,SBD,M,Single-ply
7,Koga Mitsunori,1981,JPN,55.4,175,190,190,190,100,110,110,110,185,200,217.5,217.5,490,56,Junior,SBD,M,Single-ply
8,Jaroslaw Gwozdz,1978,POL,56,140,150,160,160,110,115,117.5,117.5,175,190,200,200,475,56,Junior,SBD,M,Single-ply
9,Tomas Lacko,1982,CZE,55.6,155,167.5,175,175,90,90,95,95,165,180,187.5,187.5,450,56,Junior,SBD,M,Single-ply
1,Andrey Zvyagintsev,1979,RUS,60,220,230,240,240,105,130,135,135,202.5,212.5,215,215,590,60,Junior,SBD,M,Single-ply
2,Sheng-Nan Yang,1982,TPE,58.9,195,205,210,210,95,105,112.5,112.5,260,272.5,275,275,587.5,60,Junior,SBD,M,Single-ply
3,Marko Kytölä,1977,FIN,59.5,195,205,210,210,105,112.5,115,115,220,227.5,237.5,237.5,552.5,60,Junior,SBD,M,Single-ply
4,Justin Maile,1982,USA,59.8,205,215,220,220,100,112.5,120,120,195,212.5,227.5,227.5,552.5,60,Junior,SBD,M,Single-ply
5,Brad Peters,1976,AUS,60,182.5,192.5,192.5,192.5,102.5,102.5,107.5,107.5,200,210,215,215,500,60,Junior,SBD,M,Single-ply
6,Vladimir Hristov,1983,BUL,59,80,80,102.5,102.5,50,57.5,60,60,130,160,170,170,307.5,60,Junior,SBD,M,Single-ply
DQ,Amit Selberg,1976,SWE,59.6,225,235,235,235,150,150,150,150,,,,,,60,Junior,SBD,M,Single-ply
1,Evgeny Dolgov,1976,RUS,66.7,250,265,270,270,140,150,155,155,250,270,280,280,695,67.5,Junior,SBD,M,Single-ply
2,Jacek Spychala,1978,POL,66,230,240,240,240,135,145,152.5,152.5,250,260,270,270,652.5,67.5,Junior,SBD,M,Single-ply
3,Jeremy Arias,1976,USA,65.6,232.5,247.5,247.5,247.5,145,157.5,157.5,157.5,240,255,257.5,257.5,650,67.5,Junior,SBD,M,Single-ply
4,Masaharu Koiwai,1976,JPN,66.7,215,225,232.5,232.5,152.5,152.5,152.5,152.5,245,257.5,270,270,642.5,67.5,Junior,SBD,M,Single-ply
5,Artem Nikolenko,1979,UKR,67.5,235,247.5,252.5,252.5,150,157.5,157.5,157.5,225,235,247.5,247.5,637.5,67.5,Junior,SBD,M,Single-ply
6,Lung-Hsing Huang,1981,TPE,66.3,220,235,235,235,150,155,155,155,245,262.5,262.5,262.5,615,67.5,Junior,SBD,M,Single-ply
7,David Kenis,1977,CZE,67.1,215,227.5,232.5,232.5,135,145,150,150,205,220,227.5,227.5,600,67.5,Junior,SBD,M,Single-ply
8,Joakim Bjerke,1979,NOR,67.4,210,217.5,222.5,222.5,150,155,157.5,157.5,210,220,227.5,227.5,600,67.5,Junior,SBD,M,Single-ply
9,Matthew Jonson,1977,NZL,66.9,210,220,225,225,130,140,145,145,215,222.5,227.5,227.5,582.5,67.5,Junior,SBD,M,Single-ply
10,Jan Lenard,1982,SVK,67.5,190,200,205,205,125,125,135,135,190,205,220,220,550,67.5,Junior,SBD,M,Single-ply
11,John Walters,1977,USA,67,187.5,210,210,210,110,115,125,125,200,225,247.5,247.5,527.5,67.5,Junior,SBD,M,Single-ply
12,Peter Vadasz,1979,HUN,65.2,165,175,182.5,182.5,130,140,145,145,165,172.5,177.5,177.5,500,67.5,Junior,SBD,M,Single-ply
13,Mahmood Khalid,1977,PAK,63.6,142.5,142.5,150,150,60,65,,65,145,155,160,160,365,67.5,Junior,SBD,M,Single-ply
1,Roman Shabanov,1976,RUS,74.4,260,270,280,280,185,195.5,195.5,195.5,250,260,282.5,282.5,735,75,Junior,SBD,M,Single-ply
2,Anton Yatskov,1982,UKR,74.6,260,267.5,270,270,142.5,147.5,147.5,147.5,270,277.5,287.5,287.5,687.5,75,Junior,SBD,M,Single-ply
3,Ritzvan Mamukov,1980,UZB,73.8,240,250,260,260,155,155,155,155,240,250,262.5,262.5,667.5,75,Junior,SBD,M,Single-ply
4,Frode Berentsen,1976,NOR,74.8,255,255,265,265,165,170,175,175,225,235,240,240,665,75,Junior,SBD,M,Single-ply
5,Chien-Hung Hsieh,1979,TPE,74.3,270,290,290,290,140,150,157.5,157.5,240,260,260,260,660,75,Junior,SBD,M,Single-ply
6,Wojciech Skorlutowski,1979,POL,74.9,215,225,235,235,150,160,165,165,235,250,257.5,257.5,650,75,Junior,SBD,M,Single-ply
7,Sebastian Rouviere,1976,FRA,73.5,215,215,225,225,132.5,137.5,142.5,142.5,265,275,275,275,637.5,75,Junior,SBD,M,Single-ply
8,Ruslan Agiosmanov,1978,UZB,74.2,230,245,252.5,252.5,145,155,155,155,240,260,260,260,630,75,Junior,SBD,M,Single-ply
9,Nigel Unsworth-Smith,1976,AUS,74.3,225,235,242.5,242.5,145,150,155,155,220,230,237.5,237.5,622.5,75,Junior,SBD,M,Single-ply
10,Taro Tsutsumi,1976,JPN,74.6,207.5,215,230,230,115,127.5,132.5,132.5,240,260,260,260,617.5,75,Junior,SBD,M,Single-ply
11,Garry Bowman,1981,GBR,74.8,220,230,237.5,237.5,130,140,145,145,220,235,240,240,615,75,Junior,SBD,M,Single-ply
12,Florian Dorfner,1978,GER,70.5,230,242.5,247.5,247.5,135,145,145,145,220,230,232.5,232.5,607.5,75,Junior,SBD,M,Single-ply
13,Martin Otava,1981,CZE,74.7,200,215,220,220,120,125,127.5,127.5,230,235,240,240,575,75,Junior,SBD,M,Single-ply
14,Chen-Yu Chen,1979,TPE,74.6,200,240,,240,100,120,,120,200,242.5,262.5,262.5,562.5,75,Junior,SBD,M,Single-ply
15,Roland Kanya,1982,HUN,73.7,200,215,215,215,140,147.5,147.5,147.5,200,220,232.5,232.5,560,75,Junior,SBD,M,Single-ply
16,Szabo Horvath,1977,AUS,74.9,180,180,200,200,112.5,122.5,125,125,197.5,210,220,220,542.5,75,Junior,SBD,M,Single-ply
17,Steve Thompson,1977,NZL,73.8,180,200,205,205,130,140,145,145,180,200,202.5,202.5,540,75,Junior,SBD,M,Single-ply
18,Marco Serafini,1977,ITA,72.5,180,190,200,200,115,122.5,122.5,122.5,210,225,232.5,232.5,537.5,75,Junior,SBD,M,Single-ply
DQ,Thomas-John Colfer,1976,IRL,74.5,275,275,275,275,,,,,,,,,,75,Junior,SBD,M,Single-ply
DQ,Pasi Nyyssönen,1978,FIN,74.5,245,245,245,245,,,,,,,,,,75,Junior,SBD,M,Single-ply
1,Sergey Gordeev,1976,RUS,78.8,290,290,300,300,165,177.5,185,185,290,302.5,322.5,322.5,800,82.5,Junior,SBD,M,Single-ply
2,Ivan Shlyakhta,1981,UKR,81.3,275,292.5,302.5,302.5,160,170,170,170,290,302.5,312.5,312.5,765,82.5,Junior,SBD,M,Single-ply
3,Wieslaw Grabski,1977,POL,81.7,290,305,315,315,190,195,200,200,240,255,257.5,257.5,755,82.5,Junior,SBD,M,Single-ply
4,Ivan Freydun,1981,UKR,81.9,280,292.5,297.5,297.5,185,185,195,195,260,265,280,280,737.5,82.5,Junior,SBD,M,Single-ply
5,Jamie Burke,1976,GBR,81.9,265,265,275,275,152.5,157.5,160,160,265,267.5,282.5,282.5,707.5,82.5,Junior,SBD,M,Single-ply
6,Tomas Zakrzewski,1978,POL,82.2,250,260,270,270,145,152.5,157.5,157.5,275,285,292.5,292.5,705,82.5,Junior,SBD,M,Single-ply
7,Chia-Tsun Chang,1979,TPE,82.5,275,275,290,290,160,,,160,260,260,260,260,695,82.5,Junior,SBD,M,Single-ply
8,Eugene Burrell,1977,USA,80.8,242.5,255,262.5,262.5,152.5,165,165,165,255,267.5,275,275,687.5,82.5,Junior,SBD,M,Single-ply
9,Arild Bokneberg,1977,NOR,82,240,240,250,250,160,160,165,165,245,255,257.5,257.5,655,82.5,Junior,SBD,M,Single-ply
10,Gerhard Grossbeck,1976,AUT,76.6,220,230,240,240,170,175,180,180,230,240,250,250,645,82.5,Junior,SBD,M,Single-ply
11,Martin Huk,1977,CZE,81.2,235,245,252.5,252.5,155,160,162.5,162.5,235,250,250,250,640,82.5,Junior,SBD,M,Single-ply
12,Michael Hellwig,1978,GER,81.5,210,225,225,225,135,135,140,140,250,260,265,265,620,82.5,Junior,SBD,M,Single-ply
13,Marek Zak,1981,CZE,80.1,225,240,250,250,140,145,145,145,230,237.5,,237.5,595,82.5,Junior,SBD,M,Single-ply
14,Stefan Jakubcik,1977,SVK,81.8,220,235,235,235,135,140,145,145,200,215,230,230,590,82.5,Junior,SBD,M,Single-ply
15,Harry Cuppen,1976,NED,80.4,200,205,205,205,140,145,145,145,225,232.5,235,235,577.5,82.5,Junior,SBD,M,Single-ply
16,Sergey Fotiev,1979,UZB,76.2,200,220,235,235,100,125,125,125,210,230,,230,565,82.5,Junior,SBD,M,Single-ply
17,Philippe Bertin,1979,CAN,79.9,180,200,215,215,117.5,127.5,130,130,200,217.5,230,230,562.5,82.5,Junior,SBD,M,Single-ply
18,Stano Januska,1978,SVK,82.5,190,200,210,210,125,132.5,137.5,137.5,210,210,220,220,552.5,82.5,Junior,SBD,M,Single-ply
19,Cesare Maurizi,1977,ITA,81.6,200,200,220,220,105,112.5,117.5,117.5,200,215,240,240,527.5,82.5,Junior,SBD,M,Single-ply
DQ,Daisuke Arakawa,1978,JPN,81.6,230,245,245,245,172.5,172.5,172.5,172.5,,,,,,82.5,Junior,SBD,M,Single-ply
DQ,Margus Silbaum,1976,EST,81.7,245,255,255,255,170,170,170,170,,,,,,82.5,Junior,SBD,M,Single-ply
1,Oleksiy Rokochiy,1981,UKR,88.2,315,315,327.5,327.5,170,175,177.5,177.5,277.5,287.5,295,295,787.5,90,Junior,SBD,M,Single-ply
2,Sergey Didovik,1978,UKR,89.3,290,305,317.5,317.5,192.5,195,197.5,197.5,272.5,282.5,282.5,282.5,787.5,90,Junior,SBD,M,Single-ply
3,Michael Seibel,1977,GER,90,300,310,317.5,317.5,192.5,197.5,197.5,197.5,285,285,287.5,287.5,787.5,90,Junior,SBD,M,Single-ply
4,Balas Beres,1979,HUN,89.8,272.5,285,290,290,185,192.5,195,195,292.5,302.5,302.5,302.5,780,90,Junior,SBD,M,Single-ply
5,Karol Kopienka,1980,POL,87.5,285,300,305,305,155,155,160,160,300,300,312.5,312.5,767.5,90,Junior,SBD,M,Single-ply
6,Char Gahagen,1976,USA,89.6,260,275,285,285,165,177.5,180,180,310,332.5,335,335,765,90,Junior,SBD,M,Single-ply
7,Jiri Hornik,1978,CZE,87,260,270,275,275,190,190,190,190,280,300,310,310,760,90,Junior,SBD,M,Single-ply
8,Tanaka Kosuke,1976,JPN,88.2,260,272.5,275,275,177.5,180,187.5,187.5,285,295,295,295,747.5,90,Junior,SBD,M,Single-ply
9,Jaroslaw Filipkowski,1977,POL,87.3,260,275,285,285,195,205,210,210,260,275,275,275,745,90,Junior,SBD,M,Single-ply
10,Alexey Baluev,1978,RUS,87.1,275,282.5,290,290,172.5,177.5,180,180,270,282.5,287.5,287.5,737.5,90,Junior,SBD,M,Single-ply
11,Juhani Haapkylä,1976,FIN,89.3,235,250,257.5,257.5,180,185,185,185,260,272.5,277.5,277.5,702.5,90,Junior,SBD,M,Single-ply
12,Jaromir Kratochvil,1978,CZE,88.8,290,300,300,300,160,160,165,165,240,250,255,255,700,90,Junior,SBD,M,Single-ply
13,Stuart Ogg,1977,GBR,88.3,240,252.5,260,260,145,145,145,145,262.5,277.5,282.5,282.5,687.5,90,Junior,SBD,M,Single-ply
14,Arakama Takayuki,1980,JPN,85,225,240,240,240,155,165,170,170,255,270,280,280,680,90,Junior,SBD,M,Single-ply
15,Jaya Kumar,1977,JPN,89.9,270,270,285,285,125,125,125,125,240,260,280,280,655,90,Junior,SBD,M,Single-ply
16,Hichem Achkit,1977,NED,84.3,240,240,250,250,135,140,142.5,142.5,240,255,255,255,620,90,Junior,SBD,M,Single-ply
DQ,Peter Rick,1979,HUN,87.5,250,260,265,265,195,195,195,195,,,,,,90,Junior,SBD,M,Single-ply
DQ,Alexey Sharovatov,1979,RUS,88.8,275,280,285,285,190,200,200,200,300,300,310,310,,90,Junior,SBD,M,Single-ply
1,Nikolay Suslov,1979,RUS,96.5,330,350,365,365,205,215,225,225,315,330,337.5,337.5,927.5,100,Junior,SBD,M,Single-ply
2,Jani Palokangas,1976,FIN,99.6,315,330,240,330,190,190,190,190,310,320,335,335,840,100,Junior,SBD,M,Single-ply
3,Ildar Zakirov,1976,UKR,98.6,325,335,342.5,342.5,170,175,175,175,290,300,305,305,815,100,Junior,SBD,M,Single-ply
4,Arkadiusz Buda,1976,POL,100,300,300,310,310,200,210,215,215,285,300,302.5,302.5,795,100,Junior,SBD,M,Single-ply
5,Sen-Shan Lin,1977,TPE,95.3,300,300,300,300,180,190,192.5,192.5,250,250,260,260,752.5,100,Junior,SBD,M,Single-ply
6,Geir Gasland,1979,NOR,99.4,275,275,285,285,160,170,175,175,280,295,302.5,302.5,747.5,100,Junior,SBD,M,Single-ply
7,Andrej Pribyl,1979,CZE,99,270,280,285,285,175,175,182.5,182.5,265,275,277.5,277.5,737.5,100,Junior,SBD,M,Single-ply
8,Ted Depoe,1976,USA,98.9,267.5,267.5,272.5,272.5,172.5,175,175,175,265,272.5,280,280,727.5,100,Junior,SBD,M,Single-ply
9,Ladislaw Marek,1978,CZE,98.3,260,260,260,260,180,200,210,210,220,220,250,250,720,100,Junior,SBD,M,Single-ply
10,Tesaki Katsuo,1977,JPN,97.9,240,240,260,260,150,162.5,167.5,167.5,240,255,262.5,262.5,690,100,Junior,SBD,M,Single-ply
