Place,Name,BirthYear,Country,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg,Bench1Kg,Bench2Kg,Bench3Kg,BestBenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,BestDeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
1,Olesya Lafina,1979,RUS,43.3,145,155,165,165,77.5,87.5,-92.5,87.5,107.5,117.5,120,120,372.5,44,Junior,SBD,F,Single-ply
2,Chun-Ju Chen,1982,TPE,43.5,140,140,150,150,55,60,,60,160,167,167,167,365,44,Junior,SBD,F,Single-ply
3,Stephanie McMillian,1979,USA,43.8,110,120,120,120,47.5,52.5,55,55,125,135,137.5,137.5,300,44,Junior,SBD,F,Single-ply
4,Vanessa Serrano,1976,FRA,44,110,115,120,120,55,60,62.5,62.5,115,120,122.5,122.5,290,44,Junior,SBD,F,Single-ply
5,Elzbieta Kleszczynska,1979,POL,43.7,100,100,110,110,65,70,72.5,72.5,95,102.5,107.5,107.5,277.5,44,Junior,SBD,F,Single-ply
6,Barbara Bartoszuk,1977,POL,44,95,102.5,102.5,102.5,47.5,50,50,50,107.5,117.5,120,120,252.5,44,Junior,SBD,F,Single-ply
7,Georgia Dowsett,1981,GBR,42.7,60,65,65,65,25,27.5,30,30,75,82.5,87.5,87.5,175,44,Junior,SBD,F,Single-ply
1,Hsin-Yi Chou,1980,TPE,47.7,130,135,140,140,60,62.5,,62.5,160,172.5,172.5,172.5,372.5,48,Junior,SBD,F,Single-ply
2,Olga Legotkina,1976,RUS,47.9,130,137.5,142.5,142.5,65,70,70,70,135,145,145,145,342.5,48,Junior,SBD,F,Single-ply
3,Jennifer Maile,1984,USA,47.9,115,130,135,135,60,62.5,70,70,122.5,135,135,135,327.5,48,Junior,SBD,F,Single-ply
4,Magdalena Podhorodecka,1984,POL,48,125,135,135,135,55,57.5,57.5,57.5,127.5,135,137.5,137.5,317.5,48,Junior,SBD,F,Single-ply
5,Iryna Trubilina,1976,UKR,47.9,120,125,127.5,127.5,60,62.5,65,65,120,125,130,130,310,48,Junior,SBD,F,Single-ply
1,Tatyana Eltsova,1978,RUS,51.8,155,162.5,165,165,85,90,,90,150,150,160,160,415,52,Junior,SBD,F,Single-ply
2,Kuan-Ting Chen,1977,TPE,50.8,165,172.5,172.5,172.5,80,92.5,92.5,92.5,120,137.5,145,145,390,52,Junior,SBD,F,Single-ply
3,Oxana Gordyenko,1977,UKR,52,125,132.5,132.5,132.5,65,70,72.5,72.5,135,147.5,155,155,357.5,52,Junior,SBD,F,Single-ply
4,Lesya Floreskul,1982,UKR,51.5,135,142.5,142.5,142.5,62.5,65,65,65,145,152.5,157.5,157.5,352.5,52,Junior,SBD,F,Single-ply
5,Marta Kleszczynska,1979,POL,52,120,127.5,132.5,132.5,80,85,87.5,87.5,120,130,135,135,347.5,52,Junior,SBD,F,Single-ply
6,Andrea Cullum,1981,USA,50.9,105,125,125,125,60,65,72.5,72.5,120,130,137.5,137.5,307.5,52,Junior,SBD,F,Single-ply
7,Katrin Wartenberg,1980,GER,51.6,110,117.5,117.5,117.5,45,50,52.5,52.5,127.5,135,142.5,142.5,302.5,52,Junior,SBD,F,Single-ply
DQ,Elodie Fargue,1979,FRA,50.9,120,120,120,120,,,,,,,,,,52,Junior,SBD,F,Single-ply
1,Inna Filimonova,1976,RUS,55,170,180,188,188,80,87.5,92.5,92.5,160,170,177.5,177.5,452.5,56,Junior,SBD,F,Single-ply
2,Elena Petrunina,1976,RUS,55.4,170,177.5,182.5,182.5,92.5,97.5,100,100,165,172.5,180,180,452.5,56,Junior,SBD,F,Single-ply
3,Larysa Vitsyevska,1978,UKR,55.7,150,150,160,160,95,95,100,100,160,170,170,170,415,56,Junior,SBD,F,Single-ply
4,Virpi Kehänen,1979,FIN,55.9,160,167.5,172.5,172.5,80,82.5,82.5,82.5,145,155,165,165,407.5,56,Junior,SBD,F,Single-ply
5,Carole Wagner,1976,LUX,55.4,145,150,157.5,157.5,85,90,90,90,145,150,150,150,392.5,56,Junior,SBD,F,Single-ply
DQ,Katarina Feckova,1979,SVK,55.3,110,120,130,130,55,62.5,65,65,145,145,145,145,,56,Junior,SBD,F,Single-ply
DQ,Shu-Ting Lin,1977,TPE,55.9,170,170,170,170,100,100,100,100,,,,,,56,Junior,SBD,F,Single-ply
1,Hsiao-Li Hsiu,1981,TPE,59.5,180,195,,195,100,105,,105,185,185,185,185,480,60,Junior,SBD,F,Single-ply
2,Oxana Sasko,1982,UKR,60,190,197.5,202.5,202.5,92.5,95,95,95,185,192.5,192.5,192.5,475,60,Junior,SBD,F,Single-ply
3,Hsing-Yang Cheng,1979,TPE,59.1,140,,,140,90,,,90,185,197.5,,197.5,427.5,60,Junior,SBD,F,Single-ply
4,Isabelle Fabre,1977,FRA,57.8,142.5,142.5,152.5,152.5,75,82.5,87.5,87.5,140,147.5,147.5,147.5,375,60,Junior,SBD,F,Single-ply
5,Jill Darling,1978,USA,59.3,115,135,140,140,90,95,97.5,97.5,120,135,142.5,142.5,370,60,Junior,SBD,F,Single-ply
6,Zhanna Ivanova,1984,UKR,56.4,150,150,160,160,72.5,77.5,80,80,140,147.5,147.5,147.5,367.5,60,Junior,SBD,F,Single-ply
DQ,B. Teteswini,1979,IND,56.2,120,135,145,145,,,,,,,,,,60,Junior,SBD,F,Single-ply
DQ,Kristina Kasperanova,1976,SVK,59.8,145,145,145,145,,,,,,,,,,60,Junior,SBD,F,Single-ply
1,Marina Kudinova,1977,RUS,67.1,220,230.5,232.5,232.5,120,130,132.5,132.5,200,212.5,217.5,217.5,580,67.5,Junior,SBD,F,Single-ply
2,Lesya Gumynska,1980,UKR,65.2,200,207.5,215,215,105,112.5,117.5,117.5,200,212.5,217.5,217.5,540,67.5,Junior,SBD,F,Single-ply
3,Dana Kafkova,1976,CZE,67.5,205,210,217.5,217.5,92.5,97.5,97.5,97.5,180,192.5,195,195,497.5,67.5,Junior,SBD,F,Single-ply
4,Ching-Feng Cheng,1977,TPE,66.4,180,200,,200,110,122.5,122.5,122.5,190,205,,205,495,67.5,Junior,SBD,F,Single-ply
5,Katarzyna Rakszawska,1983,POL,67.22,150,160,165,165,75,77.5,77.5,77.5,155,162.5,165,165,407.5,67.5,Junior,SBD,F,Single-ply
6,Aneta Florczyk,1982,POL,67.3,152.5,160,165,165,72.5,72.5,77.5,77.5,160,165,170,170,407.5,67.5,Junior,SBD,F,Single-ply
7,Bente Arntsen,1976,NOR,67.5,140,150,150,150,100,105,105,105,145,152.5,157.5,157.5,407.5,67.5,Junior,SBD,F,Single-ply
8,Maria Koskinen,1977,FIN,67.3,152.5,160,165,165,85,90,95,95,142.5,145,150,150,405,67.5,Junior,SBD,F,Single-ply
9,Kaisa Karvonen,1983,FIN,67.1,140,140,155,155,85,85,95,95,140,140,157.5,157.5,382.5,67.5,Junior,SBD,F,Single-ply
10,Laura Sala,1977,ITA,64.1,125,135,140,140,82.5,87.5,87.5,87.5,142.5,150,155,155,372.5,67.5,Junior,SBD,F,Single-ply
11,Marie Thornton,1978,GBR,66.7,130,130,135,135,45,50,52.5,52.5,140,150,155,155,335,67.5,Junior,SBD,F,Single-ply
12,Dora Vari-Szabo,1980,HUN,66.3,90,100,100,100,50,60,60,60,100,115,127.5,127.5,277.5,67.5,Junior,SBD,F,Single-ply
1,Ingunn Haakonsen,1976,NOR,74.8,185,192.5,197.5,197.5,100,102.5,102.5,102.5,190,200,200,200,495,75,Junior,SBD,F,Single-ply
2,Olga Chumincheva,1976,RUS,68.6,180,190,190,190,100,107.5,110,110,180,187.5,195,195,492.5,75,Junior,SBD,F,Single-ply
3,Anna Starodubtseva,1983,UKR,67.6,180,190,195,195,100,105,110,110,175,187.5,202.5,202.5,477.5,75,Junior,SBD,F,Single-ply
